# 累积实验记录（每跑完一次自动追加一行）
datetime             model                 year    pl    train   des                 RMSE        MAE         R2          best_ep   time(s)  
--------------------------------------------------------------------------------------------------------------------------------------------
2026-06-09 11:19:22  iTransformer          2017    4     1       baseline            1.9474      1.2169      0.9217      88        1369.6   
2026-06-09 11:19:22  iTransformer          2017    8     1       baseline            2.2049      1.2947      0.8997      93        1357.8   
2026-06-09 11:19:22  iTransformer          2017    24    1       baseline            2.2677      1.3514      0.8937      93        1349.8   
2026-06-09 11:19:22  iTransformer          2017    1     1       batch_300ep         1.5426      0.8815      0.9509      97        3993.8   
2026-06-09 11:19:22  iTransformer          2017    4     2       batch_300ep         1.9080      0.9323      0.9248      281       4009.9   
2026-06-09 11:19:22  iTransformer          2017    8     2       batch_300ep         2.1105      1.2240      0.9081      107       4000.1   
2026-06-09 11:19:22  iTransformer          2017    24    2       batch_300ep         2.2691      1.2757      0.8936      103       3959.7   
2026-06-09 11:19:22  iTransformer          2018    1     1       batch_300ep         1.1024      0.5388      0.9772      241       3994.5   
2026-06-09 11:19:22  iTransformer          2018    4     1       batch_300ep         1.3662      0.6693      0.9650      267       3996.0   
2026-06-09 11:19:22  iTransformer          2018    8     1       batch_300ep         1.5179      0.7153      0.9568      286       3978.0   
2026-06-09 11:19:22  iTransformer          2018    24    1       batch_300ep         1.6551      0.8376      0.9486      295       3939.5   
2026-06-09 11:19:22  iTransformer          2019    1     1       batch_300ep         1.3385      0.7665      0.9602      105       3973.5   
2026-06-09 11:19:22  iTransformer          2019    4     1       batch_300ep         1.6797      0.8294      0.9374      266       4096.7   
2026-06-09 11:19:22  iTransformer          2019    8     1       batch_300ep         1.7864      0.9856      0.9292      96        4029.1   
2026-06-09 11:19:22  iTransformer          2019    24    1       batch_300ep         1.9142      1.0883      0.9183      98        3700.7   
2026-06-09 11:19:22  iTransformer_PGIA     2017    24    1       ppu_former          2.2433      1.2844      0.8960      98        1541.6   
2026-06-09 11:57:32  iTransformer_PGIA     2017    24    2       ppu_former          2.2857      1.4036      0.8921      85        1547.4   
2026-06-09 13:15:27  iTransformer_PGIA     2017    24    3       ppu_former          2.1294      1.2159      0.9063      98        1542.0   
2026-06-09 15:10:29  iTransformer_PGIA     2017    1     1       ppu_former          1.4700      0.7527      0.9554      193       3215.3   
2026-06-09 15:39:36  iTransformer_PGIA     2017    1     2       ppu_former          1.4648      0.8294      0.9557      78        1576.3   
2026-06-09 16:12:28  iTransformer_PGIA     2017    1     3       ppu_former          1.4784      0.8298      0.9549      81        1576.7   
2026-06-10 13:24:00  iTransformer_PGIA     2017    1     4       ppu_former_v2       1.4616      0.7944      0.9559      86        1526.8   
2026-06-10 16:17:44  Transformer           2017    1     1       transformer_baseli  1.4224      0.7102      0.9582      19        1027.2   
2026-06-10 20:09:39  Transformer           2017    1     2       transformer_baseli  1.4351      0.7777      0.9575      24        836.7    
2026-06-10 20:42:08  LSTM                  2017    24    1       lstm_baseline       2.1332      1.2521      0.9060      29        229.3    
2026-06-10 21:24:09  LSTM                  2017    24    4       lstm_baseline       2.3726      1.2815      0.8837      63        262.6    
2026-06-10 21:59:11  Transformer           2017    1     3       transformer_baseli  1.4808      0.7352      0.9547      23        850.3    
2026-06-10 22:18:50  LSTM                  2017    24    5       lstm_baseline       2.4505      1.3665      0.8759      49        252.6    
2026-06-10 22:54:39  Transformer           2017    1     4       transformer_noTime  1.4106      0.7285      0.9589      72        834.7    
2026-06-10 23:15:47  Transformer           2017    8     1       transformer_noTime  2.0807      1.1149      0.9106      26        823.2    
