date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2019/1/1 0:00,-4.212773403,-3.970974525,4.134444495,45.26850223,-0.021040096,130.25977,14.811547,-192.24104,-23.05863,40.0,0.0,0.0,0.0,-40.25976,13.543916,12.81607,0.0
2019/1/1 1:00,-4.264840245,-4.02285252,3.479722222,44.11369419,-0.021259021,131.6218,-3.3964963,-177.24104,-23.05863,40.0,0.0,0.0,0.0,-41.62179,13.543916,12.81607,0.0
2019/1/1 2:00,-4.159314215,-3.904489199,3.308888912,43.30896823,-0.021412141,128.72023,-21.081982,-162.24104,-23.05863,40.0,0.0,0.0,0.0,-38.720234,13.543916,12.81607,0.0
2019/1/1 3:00,-4.376208425,-4.119855801,2.50222221,42.31516202,-0.021439188,122.19577,-36.039433,-147.24104,-23.05863,40.0,0.0,0.0,0.0,-32.19577,13.543916,12.81607,0.0
2019/1/1 4:00,-4.999858181,-4.664098978,1.235555544,40.9676164,-0.021588688,113.10484,-47.780655,-132.24104,-23.05863,40.0,0.0,0.0,0.0,-23.104845,13.543916,12.81607,0.0
2019/1/1 5:00,-5.278841178,-4.919971685,0.391388893,39.22863388,-0.021561859,102.35039,-56.870205,-117.24104,-23.05863,40.0,0.0,0.0,0.0,-12.350387,13.543916,12.81607,0.0
2019/1/1 6:00,50.79966722,21.64810375,0.644166676,39.31466039,0.449454057,90.53881,-64.05639,-102.24104,-23.05863,40.0,0.0,0.0,0.0,-0.5388111,13.543916,12.81607,0.0
2019/1/1 7:00,167.4506219,110.4444777,2.76666671,44.14826965,3.674582322,78.04715,-69.95202,-87.24104,-23.05863,4.726836,140.99963,0.5750906,291.17258,11.952849,13.543916,12.81607,1.0
2019/1/1 8:00,501.1742732,387.7007624,4.468055526,49.400081,8.629938484,65.10938,-75.01368,-72.24104,-23.05863,2.3656077,375.87497,0.8469671,591.72815,24.89062,13.543916,12.81607,1.0
2019/1/1 9:00,728.7889048,627.3434448,4.654999991,54.98961798,12.97172753,51.875725,-79.606606,-57.241043,-23.05863,1.617088,609.1167,0.839654,867.9633,38.124275,13.543916,12.81607,1.0
2019/1/1 10:00,912.9019928,831.2290344,3.371388873,62.70968946,16.2092092,38.448948,-84.11624,-42.241043,-23.05863,1.2757909,810.55444,0.82911706,1101.0532,51.551052,13.543916,12.81607,1.0
2019/1/1 11:00,1039.129863,974.2981059,3.141388853,68.25446701,18.09040038,24.910254,-89.270355,-27.241043,-23.05863,1.1020019,962.42224,0.8149316,1275.113,65.089745,13.543916,12.81607,1.0
2019/1/1 12:00,1113.01118,1063.851552,2.286388914,74.21562576,18.90784756,11.377008,-98.5238,-12.241042,-23.05863,1.0196751,1052.8235,0.8075358,1378.2809,78.62299,13.543916,12.81607,1.0
2019/1/1 13:00,1113.765198,1080.016388,2.639999986,73.57497152,18.88376125,3.3345065,130.40988,2.7589579,-23.05863,1.0013897,1074.977,0.7935479,1403.5261,86.6655,13.543916,12.81607,1.0
2019/1/1 14:00,1048.832102,1017.03451,3.170000066,69.57113393,17.872365,16.33888,93.96674,17.758957,-23.05863,1.0416608,1027.2546,0.7774147,1349.1283,73.66112,13.543916,12.81607,1.0
2019/1/1 15:00,912.3426717,880.2060699,3.586388886,65.64047209,15.53643997,29.898458,87.21118,32.758957,-23.05863,1.152817,913.18353,0.7485615,1218.7946,60.101543,13.543916,12.81607,1.0
2019/1/1 16:00,718.1223348,680.9778493,3.962499996,61.11445808,11.0089488,43.405285,82.435715,47.758957,-23.05863,1.3749832,741.4209,0.7030718,1021.4068,46.594715,13.543916,12.81607,1.0
2019/1/1 17:00,471.2290039,429.429095,4.377500017,56.27840868,6.302629073,56.771053,77.94946,62.758957,-23.05863,1.8207324,525.8311,0.6116546,770.4169,33.228947,13.543916,12.81607,1.0
2019/1/1 18:00,215.2096348,176.4201164,3.891388893,51.73508962,1.927365745,69.90973,73.22455,77.75896,-23.05863,2.8908398,287.21817,0.44563392,482.9292,20.090273,13.543916,12.81607,1.0
2019/1/1 19:00,27.29679582,17.27762827,2.769444466,48.01124382,0.146884328,82.70433,67.90162,92.75896,-23.05863,7.4489236,68.02473,0.15289271,178.53563,7.2956734,13.543916,12.81607,1.0
2019/1/1 20:00,-5.871411721,-5.761490186,2.356388887,45.98334472,-0.021774611,94.97902,61.591606,107.75896,-23.05863,40.0,0.0,0.0,0.0,-4.9790187,13.543916,12.81607,0.0
2019/1/1 21:00,-6.02999874,-5.86783127,1.74888887,44.85135237,-0.021637654,106.455635,53.78577,122.75896,-23.05863,40.0,0.0,0.0,0.0,-16.455637,13.543916,12.81607,0.0
