epoch,train_r²,test_r²
1,-2866.8818359375,-4110.685546875
2,-1087.0947265625,-1573.7989501953125
3,-556.2164306640625,-818.0267333984375
4,-272.18060302734375,-420.5935363769531
5,-112.35167694091797,-174.7929229736328
6,-41.45124053955078,-69.5285873413086
7,-18.818159103393555,-31.924537658691406
8,-10.237861633300781,-17.816938400268555
9,-6.263824462890625,-11.223031044006348
10,-4.153142929077148,-7.873932838439941
11,-2.858891487121582,-5.787433624267578
12,-2.1581220626831055,-4.318904399871826
13,-1.3858697414398193,-3.3085155487060547
14,-0.9496549367904663,-2.3988332748413086
15,-0.5998497009277344,-1.877718210220337
16,-0.34065771102905273,-1.4169116020202637
17,-0.1373516321182251,-1.0513992309570312
18,0.02709263563156128,-0.7859119176864624
19,0.1572638750076294,-0.5770041942596436
20,0.29342156648635864,-0.3023287057876587
21,0.37048470973968506,-0.14993679523468018
22,0.4389064311981201,-0.028459668159484863
23,0.5121510624885559,0.09097903966903687
24,0.5623676776885986,0.16840678453445435
25,0.6351540088653564,0.31559401750564575
26,0.6728839874267578,0.36401593685150146
27,0.6600379347801208,0.3767731189727783
28,0.7327343225479126,0.48939740657806396
29,0.7616810202598572,0.5521973371505737
30,0.775414228439331,0.5759330987930298
31,0.799287736415863,0.6328163146972656
32,0.819250762462616,0.65290367603302
33,0.8368948101997375,0.6818618178367615
34,0.8490824699401855,0.705884575843811
35,0.8686277866363525,0.7479588985443115
36,0.8754739761352539,0.76544588804245
37,0.8845841884613037,0.7674170732498169
38,0.8841123580932617,0.7907929420471191
39,0.9067739248275757,0.8144971132278442
40,0.908655047416687,0.8187629580497742
41,0.9001659154891968,0.8213368654251099
42,0.9228150844573975,0.8433641791343689
43,0.9166584014892578,0.8460575342178345
44,0.922174334526062,0.8480232954025269
45,0.92474365234375,0.8574091196060181
46,0.9303684234619141,0.8728598952293396
47,0.937917172908783,0.879217803478241
48,0.9370686411857605,0.8824412226676941
49,0.9386612176895142,0.8861245512962341
50,0.9466648101806641,0.8979769945144653
