epoch,train_mae,test_mae
1,255.6018829345703,345.2734375
2,156.2977752685547,216.38645935058594
3,111.93840789794922,155.5739288330078
4,78.04589080810547,110.89443969726562
5,50.56715393066406,71.60960388183594
6,30.39595603942871,45.162208557128906
7,20.74612808227539,30.832801818847656
8,15.650588035583496,23.313148498535156
9,12.569151878356934,18.767305374145508
10,10.569388389587402,16.00204086303711
11,9.17198371887207,14.10600471496582
12,8.451638221740723,12.507731437683105
13,7.232287406921387,11.279191970825195
14,6.55245304107666,9.946778297424316
15,5.938823223114014,9.187592506408691
16,5.465371131896973,8.413931846618652
17,5.035623550415039,7.75935173034668
18,4.671928882598877,7.2573323249816895
19,4.371742248535156,6.882339000701904
20,3.958193063735962,6.195417881011963
21,3.7768502235412598,5.860165596008301
22,3.59833025932312,5.546546459197998
23,3.3474929332733154,5.220843315124512
24,3.1843113899230957,5.0065178871154785
25,2.8641653060913086,4.4995503425598145
26,2.7192978858947754,4.36808967590332
27,2.8936736583709717,4.365131855010986
28,2.4769694805145264,3.904425859451294
29,2.3381619453430176,3.649714708328247
30,2.2573366165161133,3.5400094985961914
31,2.1314754486083984,3.2820355892181396
32,2.057180881500244,3.2366385459899902
33,1.9498162269592285,3.08000111579895
34,1.851158618927002,2.9244792461395264
35,1.719393014907837,2.7183520793914795
36,1.6695399284362793,2.5998475551605225
37,1.6329954862594604,2.6300928592681885
38,1.625402808189392,2.480689764022827
39,1.4345365762710571,2.316227674484253
40,1.4249465465545654,2.2828938961029053
41,1.5281856060028076,2.2605762481689453
42,1.283103108406067,2.090096950531006
43,1.3410089015960693,2.037168025970459
44,1.3160291910171509,2.073793888092041
45,1.2911107540130615,1.9811865091323853
46,1.23233163356781,1.8435684442520142
47,1.1570682525634766,1.8272755146026611
48,1.1507772207260132,1.7421461343765259
49,1.1334128379821777,1.7232491970062256
50,1.0282931327819824,1.57700777053833
