epoch,train_mse,test_mse
1,103622.0078125,178083.671875
2,42296.53515625,71914.8515625
3,22042.6953125,37143.85546875
4,10598.5595703125,18515.93359375
5,4827.8232421875,8481.5859375
6,2004.013427734375,3657.829833984375
7,1013.9693603515625,1917.1043701171875
8,614.8661499023438,1176.730712890625
9,405.0396423339844,780.9403686523438
10,287.2908020019531,572.6436767578125
11,215.3516387939453,418.7037353515625
12,172.30691528320312,341.0826416015625
13,137.15504455566406,272.9044494628906
14,110.4986801147461,224.52737426757812
15,88.96295928955078,178.795166015625
16,73.05572509765625,151.47303771972656
17,63.723106384277344,133.3885955810547
18,52.29246139526367,111.62467956542969
19,44.041683197021484,93.54763793945312
20,40.672306060791016,85.4383773803711
21,31.805814743041992,69.80078887939453
22,30.658790588378906,64.48291015625
23,24.287813186645508,54.31853103637695
24,22.04616928100586,47.6139030456543
25,19.608362197875977,43.893959045410156
26,17.572628021240234,38.381534576416016
27,15.249381065368652,34.21772384643555
28,13.992781639099121,30.879581451416016
29,13.20388412475586,28.48849868774414
30,10.72166633605957,24.535327911376953
31,10.246034622192383,22.827245712280273
32,8.948862075805664,20.06549072265625
33,7.564374923706055,17.702617645263672
34,7.59262228012085,17.147783279418945
35,6.412802219390869,14.716063499450684
36,6.022603988647461,14.08969783782959
37,6.116217136383057,13.466483116149902
38,5.230731010437012,12.093117713928223
39,5.619407653808594,12.060826301574707
40,4.587100982666016,10.660957336425781
41,5.09275484085083,10.2568998336792
42,4.156147480010986,9.270183563232422
43,3.8551464080810547,8.964194297790527
44,3.6552281379699707,8.004924774169922
45,3.559068202972412,7.838520526885986
46,3.0427606105804443,6.976143836975098
47,2.989950656890869,6.687658786773682
48,2.379485845565796,5.998016357421875
49,2.6973423957824707,6.255749702453613
50,2.7682688236236572,6.40497350692749
