DateTime,sample_idx,step,actual,predicted
2017/10/20 0:00,0,1,-0.020713951,-0.49639192
2017/10/20 1:00,0,2,-0.020602953,-2.173796
2017/10/20 2:00,0,3,-0.020796103,-2.148872
2017/10/20 3:00,0,4,-0.020833448,-0.43612155
2017/10/20 1:00,1,1,-0.020602953,1.1768028
2017/10/20 2:00,1,2,-0.020796103,0.35535133
2017/10/20 3:00,1,3,-0.020833448,-2.7737942
2017/10/20 4:00,1,4,-0.020929836,-1.3869594
2017/10/20 2:00,2,1,-0.020796103,-1.1741623
2017/10/20 3:00,2,2,-0.020833448,-1.1293164
2017/10/20 4:00,2,3,-0.020929836,-3.5182903
2017/10/20 5:00,2,4,-0.020955106,-2.4722896
2017/10/20 3:00,3,1,-0.020833448,-1.4764479
2017/10/20 4:00,3,2,-0.020929836,-1.7013186
2017/10/20 5:00,3,3,-0.020955106,-2.0699306
2017/10/20 6:00,3,4,0.37568936,-0.5012232
2017/10/20 4:00,4,1,-0.020929836,0.28716445
2017/10/20 5:00,4,2,-0.020955106,-0.21970238
2017/10/20 6:00,4,3,0.37568936,-0.27330494
2017/10/20 7:00,4,4,4.095335,3.4953897
2017/10/20 5:00,5,1,-0.020955106,-0.7660486
2017/10/20 6:00,5,2,0.37568936,0.3126398
2017/10/20 7:00,5,3,4.095335,0.49316475
2017/10/20 8:00,5,4,9.626997,8.818178
2017/10/20 6:00,6,1,0.37568936,-1.3662003
2017/10/20 7:00,6,2,4.095335,3.8069477
2017/10/20 8:00,6,3,9.626997,7.3465643
2017/10/20 9:00,6,4,14.268197,15.338915
2017/10/20 7:00,7,1,4.095335,3.8861687
2017/10/20 8:00,7,2,9.626997,10.135176
2017/10/20 9:00,7,3,14.268197,16.209143
2017/10/20 10:00,7,4,17.437979,21.20393
2017/10/20 8:00,8,1,9.626997,12.589249
2017/10/20 9:00,8,2,14.268197,15.790558
2017/10/20 10:00,8,3,17.437979,20.864048
2017/10/20 11:00,8,4,19.400583,24.279707
2017/10/20 9:00,9,1,14.268197,17.70277
2017/10/20 10:00,9,2,17.437979,22.889105
2017/10/20 11:00,9,3,19.400583,23.645891
2017/10/20 12:00,9,4,20.016624,24.969557
2017/10/20 10:00,10,1,17.437979,21.5934
2017/10/20 11:00,10,2,19.400583,24.61692
2017/10/20 12:00,10,3,20.016624,23.417763
2017/10/20 13:00,10,4,19.319904,21.579033
2017/10/20 11:00,11,1,19.400583,24.662273
2017/10/20 12:00,11,2,20.016624,23.812983
2017/10/20 13:00,11,3,19.319904,20.81431
2017/10/20 14:00,11,4,17.555317,17.26541
2017/10/20 12:00,12,1,20.016624,22.185047
2017/10/20 13:00,12,2,19.319904,21.075493
2017/10/20 14:00,12,3,17.555317,15.666131
2017/10/20 15:00,12,4,14.411037,13.067822
2017/10/20 13:00,13,1,19.319904,20.99684
2017/10/20 14:00,13,2,17.555317,18.713764
2017/10/20 15:00,13,3,14.411037,12.451296
2017/10/20 16:00,13,4,9.247851,10.80339
2017/10/20 14:00,14,1,17.555317,19.366125
2017/10/20 15:00,14,2,14.411037,13.642778
2017/10/20 16:00,14,3,9.247851,6.432289
2017/10/20 17:00,14,4,4.243454,4.38957
2017/10/20 15:00,15,1,14.411037,15.623076
2017/10/20 16:00,15,2,9.247851,7.6229997
2017/10/20 17:00,15,3,4.243454,0.6922357
2017/10/20 18:00,15,4,0.59579724,-0.8904498
2017/10/20 16:00,16,1,9.247851,9.047235
2017/10/20 17:00,16,2,4.243454,3.028399
2017/10/20 18:00,16,3,0.59579724,-0.66089225
2017/10/20 19:00,16,4,-0.021247957,-0.60984105
2017/10/20 17:00,17,1,4.243454,2.9267714
2017/10/20 18:00,17,2,0.59579724,-0.9198167
2017/10/20 19:00,17,3,-0.021247957,-0.42760798
2017/10/20 20:00,17,4,-0.021188913,0.08526066
2017/10/20 18:00,18,1,0.59579724,0.8098841
2017/10/20 19:00,18,2,-0.021247957,0.21363305
2017/10/20 20:00,18,3,-0.021188913,0.4992192
2017/10/20 21:00,18,4,-0.021077774,-1.1867986
2017/10/20 19:00,19,1,-0.021247957,-0.1953418
2017/10/20 20:00,19,2,-0.021188913,0.14392228
2017/10/20 21:00,19,3,-0.021077774,-1.3422154
2017/10/20 22:00,19,4,-0.021042585,-1.0399046
2017/10/20 20:00,20,1,-0.021188913,-0.84879816
2017/10/20 21:00,20,2,-0.021077774,-1.3936828
2017/10/20 22:00,20,3,-0.021042585,-3.0657775
2017/10/20 23:00,20,4,-0.021000994,-1.5102259
2017/10/20 21:00,21,1,-0.021077774,-1.2313879
2017/10/20 22:00,21,2,-0.021042585,-0.6120046
2017/10/20 23:00,21,3,-0.021000994,-3.288519
2017/10/21 0:00,21,4,-0.02106703,-1.4948468
2017/10/20 22:00,22,1,-0.021042585,-0.49436483
2017/10/20 23:00,22,2,-0.021000994,-0.76621735
2017/10/21 0:00,22,3,-0.02106703,-2.9459107
2017/10/21 1:00,22,4,-0.020896083,-1.3145789
2017/10/20 23:00,23,1,-0.021000994,0.5484251
2017/10/21 0:00,23,2,-0.02106703,-1.0748148
2017/10/21 1:00,23,3,-0.020896083,-0.16746773
2017/10/21 2:00,23,4,-0.021165067,-0.7454849
2017/10/21 0:00,24,1,-0.02106703,-0.5317075
2017/10/21 1:00,24,2,-0.020896083,-1.6922238
2017/10/21 2:00,24,3,-0.021165067,-2.4518943
2017/10/21 3:00,24,4,-0.021281706,-0.43775755
2017/10/21 1:00,25,1,-0.020896083,-0.64440006
2017/10/21 2:00,25,2,-0.021165067,-1.3624488
