epoch,train_mse,test_mse
1,137735.859375,233034.09375
2,32432.564453125,57813.48046875
3,15027.8359375,25413.30078125
4,7940.8681640625,13946.7412109375
5,4890.17333984375,8672.2275390625
6,3282.482421875,5931.337890625
7,2155.281005859375,4012.337890625
8,1489.4078369140625,2853.770263671875
9,1069.9869384765625,2025.1588134765625
10,756.0097045898438,1446.97265625
11,540.4553833007812,1057.060302734375
12,375.4544372558594,745.4833984375
13,263.7369689941406,526.68603515625
14,181.70556640625,373.835693359375
15,126.71206665039062,259.8335876464844
16,84.9314956665039,179.11143493652344
17,57.82787322998047,122.2574691772461
18,38.45996856689453,79.11031341552734
19,25.111635208129883,52.425697326660156
20,16.615646362304688,34.9936408996582
21,11.479791641235352,23.51324462890625
22,8.356887817382812,16.910409927368164
23,6.620189189910889,12.848203659057617
24,5.616092681884766,10.53060531616211
25,5.0378570556640625,9.409526824951172
26,4.6352033615112305,8.385517120361328
27,4.354818344116211,7.983127117156982
28,4.108191013336182,7.436474800109863
29,3.923551321029663,7.169648170471191
30,3.7292137145996094,6.748680114746094
31,3.5739142894744873,6.409700870513916
32,3.391911745071411,6.401224136352539
33,3.3056228160858154,6.058063983917236
34,3.128364086151123,5.7911553382873535
35,3.019916296005249,5.551779747009277
36,2.8990960121154785,5.245096683502197
37,2.8921515941619873,5.030924320220947
38,2.7262184619903564,5.24350118637085
39,2.6209464073181152,5.2611985206604
40,2.502328872680664,4.751567840576172
41,2.5530741214752197,4.075923442840576
42,2.361231565475464,4.309870719909668
43,2.295907497406006,4.152796745300293
44,2.4630978107452393,3.9204323291778564
45,2.171769142150879,4.035848140716553
46,2.126354932785034,3.964460611343384
47,2.1256072521209717,3.6386256217956543
48,2.05580735206604,3.8578968048095703
49,2.0156617164611816,3.7907557487487793
50,2.041132688522339,3.645293951034546
