epoch,train_r²,test_r²
1,-2653.05419921875,-3860.017578125
2,-214.14431762695312,-337.71295166015625
3,-45.02699661254883,-78.11679077148438
4,-16.36939811706543,-30.531330108642578
5,-8.400900840759277,-17.007143020629883
6,-4.850560665130615,-10.212242126464844
7,-2.9577510356903076,-6.9698028564453125
8,-1.906022071838379,-4.898104190826416
9,-1.1296257972717285,-3.3925061225891113
10,-0.6348528861999512,-2.541005849838257
11,-0.30713534355163574,-1.7653639316558838
12,-0.03581881523132324,-1.2971224784851074
13,0.14210236072540283,-0.9097265005111694
14,0.27580785751342773,-0.545456051826477
15,0.3908267021179199,-0.33421504497528076
16,0.4629483222961426,-0.16686487197875977
17,0.5496395826339722,-0.010629057884216309
18,0.6140332221984863,0.16062074899673462
19,0.6534546613693237,0.23040354251861572
20,0.6973543763160706,0.3413636088371277
21,0.728478193283081,0.40035271644592285
22,0.7542192935943604,0.4656983017921448
23,0.7745088338851929,0.5168885588645935
24,0.796741247177124,0.5724604725837708
25,0.8137903809547424,0.6009616851806641
26,0.8268622159957886,0.6346046924591064
27,0.8340089321136475,0.6589768528938293
28,0.845334529876709,0.6860451698303223
29,0.8558599948883057,0.6962018013000488
30,0.8677136301994324,0.7239277362823486
31,0.8738584518432617,0.7400447130203247
32,0.8815731406211853,0.7566944360733032
33,0.8878986835479736,0.7687739133834839
34,0.8926025032997131,0.7696698904037476
35,0.8971909880638123,0.7917096614837646
36,0.9026221036911011,0.7963429689407349
37,0.9058752059936523,0.7949732542037964
38,0.9134831428527832,0.8070069551467896
39,0.9179614782333374,0.8249987363815308
40,0.918199360370636,0.8274639844894409
41,0.9095912575721741,0.8011438846588135
42,0.9269938468933105,0.8437075018882751
43,0.9287816286087036,0.8590495586395264
44,0.9300665855407715,0.8497209548950195
45,0.9364166855812073,0.8650308847427368
46,0.9296700954437256,0.8659669160842896
47,0.9377769231796265,0.8603329658508301
48,0.9368451833724976,0.8715946078300476
49,0.9402365684509277,0.8693442344665527
50,0.9421200156211853,0.8766748905181885
