epoch,train_mae,test_mae
1,243.841064453125,336.811279296875
2,68.90259552001953,99.66020202636719
3,32.202396392822266,48.488895416259766
4,19.79551887512207,30.573078155517578
5,14.599471092224121,22.946773529052734
6,11.554666519165039,18.100812911987305
7,9.472871780395508,15.155418395996094
8,8.160049438476562,13.022897720336914
9,6.944389343261719,11.236701965332031
10,6.043671607971191,10.059473991394043
11,5.444987773895264,8.828529357910156
12,4.801186561584473,8.061149597167969
13,4.382523536682129,7.357235908508301
14,4.016366481781006,6.609201908111572
15,3.7019248008728027,6.1734938621521
16,3.491741180419922,5.783852577209473
17,3.194601535797119,5.3389892578125
18,2.9337809085845947,4.863455295562744
19,2.7968924045562744,4.689207553863525
20,2.6073803901672363,4.332936763763428
21,2.4718637466430664,4.153859615325928
22,2.3406858444213867,3.9033215045928955
23,2.24941086769104,3.713653802871704
24,2.130282402038574,3.5096020698547363
25,2.0259430408477783,3.3947317600250244
26,1.9538534879684448,3.2304699420928955
27,1.9099277257919312,3.108139991760254
28,1.858555555343628,3.027329683303833
29,1.7679011821746826,2.9305741786956787
30,1.6871790885925293,2.8205785751342773
31,1.6467458009719849,2.721456289291382
32,1.5905059576034546,2.6241769790649414
33,1.5339936017990112,2.544154167175293
34,1.4903770685195923,2.536942958831787
35,1.4834389686584473,2.432344436645508
36,1.4095133543014526,2.350318431854248
37,1.3625456094741821,2.3669936656951904
38,1.3032174110412598,2.3093619346618652
39,1.269575834274292,2.1743786334991455
40,1.2854150533676147,2.1885433197021484
41,1.3510596752166748,2.30966854095459
42,1.1947243213653564,2.0480661392211914
43,1.1786057949066162,1.9279409646987915
44,1.1423245668411255,1.9732776880264282
45,1.0713967084884644,1.8678791522979736
46,1.2236485481262207,1.917185664176941
47,1.0182194709777832,1.8679184913635254
48,1.0938165187835693,1.821122407913208
49,1.0345412492752075,1.8442856073379517
50,1.0049114227294922,1.781873345375061
