epoch,train_mse,test_mse
1,5.201542377471924,5.201542377471924
2,4.812382698059082,4.812382698059082
3,4.528331279754639,4.528331279754639
4,4.180200576782227,4.180200576782227
5,4.337040424346924,4.337040424346924
6,4.1300153732299805,4.1300153732299805
7,4.074548244476318,4.074548244476318
8,3.826411724090576,3.826411724090576
9,3.8715603351593018,3.8715603351593018
10,3.9714934825897217,3.9714934825897217
11,3.9998583793640137,3.9998583793640137
12,4.114884376525879,4.114884376525879
13,3.7636866569519043,3.7636866569519043
14,4.06065034866333,4.06065034866333
15,3.6998088359832764,3.6998088359832764
16,3.9993531703948975,3.9993531703948975
17,3.547917604446411,3.547917604446411
18,3.6754040718078613,3.6754040718078613
19,3.822768449783325,3.822768449783325
20,4.019022464752197,4.019022464752197
21,3.7850301265716553,3.7850301265716553
22,4.062137126922607,4.062137126922607
23,3.686283826828003,3.686283826828003
24,3.6286838054656982,3.6286838054656982
25,3.856402635574341,3.856402635574341
26,3.484480619430542,3.484480619430542
27,3.9173736572265625,3.9173736572265625
28,3.6298828125,3.6298828125
29,3.529249906539917,3.529249906539917
30,3.4787542819976807,3.4787542819976807
31,3.700183153152466,3.700183153152466
32,3.536409616470337,3.536409616470337
33,3.8851513862609863,3.8851513862609863
34,3.580843210220337,3.580843210220337
35,3.503321409225464,3.503321409225464
36,3.8859593868255615,3.8859593868255615
37,3.6036272048950195,3.6036272048950195
38,3.5748095512390137,3.5748095512390137
39,3.849736213684082,3.849736213684082
40,3.4638092517852783,3.4638092517852783
41,3.707136392593384,3.707136392593384
42,3.7853968143463135,3.7853968143463135
43,3.405665159225464,3.405665159225464
44,3.742446184158325,3.742446184158325
45,3.4474472999572754,3.4474472999572754
46,3.878086566925049,3.878086566925049
47,3.588930606842041,3.588930606842041
48,3.7532799243927,3.7532799243927
49,3.528503179550171,3.528503179550171
50,3.7439656257629395,3.7439656257629395
51,3.88417911529541,3.88417911529541
52,3.736659049987793,3.736659049987793
53,3.5568666458129883,3.5568666458129883
54,3.6215474605560303,3.6215474605560303
55,3.6372768878936768,3.6372768878936768
56,3.605742931365967,3.605742931365967
57,3.763700008392334,3.763700008392334
58,3.646925449371338,3.646925449371338
59,4.013537883758545,4.013537883758545
60,3.5585875511169434,3.5585875511169434
61,3.5644655227661133,3.5644655227661133
62,3.568455696105957,3.568455696105957
63,3.8843472003936768,3.8843472003936768
64,3.5143115520477295,3.5143115520477295
65,3.520761728286743,3.520761728286743
66,3.3369293212890625,3.3369293212890625
67,3.490929365158081,3.490929365158081
68,3.7533559799194336,3.7533559799194336
69,3.7613823413848877,3.7613823413848877
70,3.7246036529541016,3.7246036529541016
71,3.4936251640319824,3.4936251640319824
72,3.5265696048736572,3.5265696048736572
73,3.7813751697540283,3.7813751697540283
74,3.478222370147705,3.478222370147705
75,3.5185487270355225,3.5185487270355225
76,3.801713228225708,3.801713228225708
77,3.7252748012542725,3.7252748012542725
78,3.6220204830169678,3.6220204830169678
79,3.7821779251098633,3.7821779251098633
80,3.640340805053711,3.640340805053711
81,3.5067033767700195,3.5067033767700195
82,3.5274062156677246,3.5274062156677246
83,3.699624538421631,3.699624538421631
84,3.509495973587036,3.509495973587036
85,3.6026999950408936,3.6026999950408936
86,3.565084457397461,3.565084457397461
87,3.4900364875793457,3.4900364875793457
88,3.7506816387176514,3.7506816387176514
89,3.790257453918457,3.790257453918457
90,3.9778199195861816,3.9778199195861816
91,3.5024492740631104,3.5024492740631104
92,3.381861448287964,3.381861448287964
93,3.480348825454712,3.480348825454712
94,3.7801315784454346,3.7801315784454346
95,3.6376140117645264,3.6376140117645264
96,3.4234561920166016,3.4234561920166016
97,3.5359745025634766,3.5359745025634766
98,3.6719472408294678,3.6719472408294678
99,3.639230728149414,3.639230728149414
100,3.71540904045105,3.71540904045105
