epoch,train_r²,validation_r²
1,-4241.20068359375,-5209.8466796875
2,0.0,-2021.721435546875
3,0.0,-1450.045166015625
4,0.0,-1627.6998291015625
5,0.0,-2036.7923583984375
6,0.0,-2315.365234375
7,0.0,-2352.185302734375
8,0.0,-2112.88037109375
9,0.0,-1841.0020751953125
10,0.0,-1605.06640625
11,0.0,-1442.6912841796875
12,0.0,-1306.8970947265625
13,0.0,-1202.734130859375
14,0.0,-1121.7296142578125
15,0.0,-1059.7144775390625
16,0.0,-1000.7108154296875
17,0.0,-966.3607788085938
18,0.0,-922.76806640625
19,0.0,-887.7835083007812
20,0.0,-853.4815673828125
21,0.0,-844.5069580078125
22,0.0,-804.6585693359375
23,0.0,-798.959716796875
24,0.0,-786.838623046875
25,0.22603392601013184,-748.7185668945312
26,0.0,-726.0343017578125
27,0.0,-736.5877685546875
28,0.0,-718.7490234375
29,0.0,-718.6974487304688
30,0.0,-706.279296875
31,0.0,-671.7183227539062
32,0.0,-664.5906982421875
33,0.0,-658.3489990234375
34,0.0,-653.4900512695312
35,0.0,-646.9982299804688
36,0.0,-662.8131713867188
37,0.0,-656.5017700195312
38,0.0,-657.1202392578125
39,0.0,-656.683837890625
40,0.0,-643.3926391601562
41,0.0,-647.9095458984375
42,0.0,-654.1264038085938
43,0.0,-661.9660034179688
44,0.0,-660.2644653320312
45,0.0,-665.0213012695312
46,0.0,-682.2230224609375
47,0.0,-680.3753051757812
48,0.0,-698.4790649414062
49,0.0,-705.2784423828125
50,0.9024706482887268,-718.1747436523438
