epoch,train_mse,validation_mse
1,179609.390625,244359.40625
2,0.0,94854.2578125
3,0.0,68045.859375
4,0.0,76376.8671875
5,0.0,95561.0078125
6,0.0,108624.5
7,0.0,110351.1640625
8,0.0,99129.1015625
9,0.0,86379.5390625
10,0.0,75315.484375
11,0.0,67701.0
12,0.0,61333.01953125
13,0.0,56448.359375
14,0.0,52649.703125
15,0.0,49741.546875
16,0.0,46974.60546875
17,0.0,45363.78125
18,0.0,43319.52734375
19,0.0,41678.94921875
20,0.0,40070.3828125
21,0.0,39649.5234375
22,0.0,37780.859375
23,0.0,37513.61328125
24,0.0,36945.19921875
25,32.768741607666016,35157.5859375
26,0.0,34093.8203125
27,0.0,34588.71875
28,0.0,33752.18359375
29,0.0,33749.765625
30,0.0,33167.421875
31,0.0,31546.70703125
32,0.0,31212.4609375
33,0.0,30919.759765625
34,0.0,30691.90234375
35,0.0,30387.474609375
36,0.0,31129.107421875
37,0.0,30833.134765625
38,0.0,30862.138671875
39,0.0,30841.67578125
40,0.0,30218.392578125
41,0.0,30430.2109375
42,0.0,30721.744140625
43,0.0,31089.37890625
44,0.0,31009.5859375
45,0.0,31232.654296875
46,0.0,32039.3203125
47,0.0,31952.671875
48,0.0,32801.63671875
49,0.0,33120.48828125
50,4.129269599914551,33725.25390625
