epoch,train_mse,validation_mse
1,124497.6015625,168623.390625
2,0.0,45185.87109375
3,0.0,22357.9609375
4,0.0,20636.08203125
5,0.0,25087.048828125
6,0.0,29253.64453125
7,0.0,29191.986328125
8,0.0,26568.2890625
9,0.0,23292.0234375
10,0.0,20297.837890625
11,0.0,17279.4453125
12,0.0,14885.5537109375
13,0.0,13054.6650390625
14,0.0,11460.677734375
15,0.0,10278.3564453125
16,0.0,7293.525390625
17,0.0,7045.892578125
18,0.0,6734.03955078125
19,0.0,6420.15283203125
20,0.0,5924.9580078125
21,0.0,5487.97509765625
22,0.0,5059.69775390625
23,0.0,4667.30126953125
24,0.0,4284.32421875
25,28.213077545166016,3951.9228515625
26,0.0,3671.925048828125
27,0.0,3407.78173828125
28,0.0,3167.16796875
29,0.0,2959.86376953125
30,0.0,2760.67822265625
31,0.0,2594.3251953125
32,0.0,2432.047119140625
33,0.0,2282.42041015625
34,0.0,2136.327392578125
35,0.0,2010.1077880859375
36,0.0,1889.6591796875
37,0.0,1786.9688720703125
38,0.0,1676.5164794921875
39,0.0,1587.4334716796875
40,0.0,1498.352783203125
41,0.0,1414.3851318359375
42,0.0,1338.798095703125
43,0.0,1270.6072998046875
44,0.0,1203.5372314453125
45,0.0,1141.95361328125
46,0.0,1083.3306884765625
47,0.0,1024.1688232421875
48,0.0,975.4874267578125
49,0.0,925.9651489257812
50,3.3785338401794434,879.5604248046875
