epoch,train_mse,validation_mse
1,132139.953125,179027.09375
2,0.0,83872.7578125
3,0.0,41112.38671875
4,0.0,19198.10546875
5,0.0,7374.0615234375
6,0.0,2674.279052734375
7,0.0,1134.806884765625
8,0.0,627.3858032226562
9,0.0,404.1675720214844
10,0.0,286.0148010253906
11,0.0,212.57643127441406
12,0.0,163.93252563476562
13,0.0,132.72047424316406
14,0.0,108.84538269042969
15,0.0,89.8311538696289
16,0.0,75.23465728759766
17,0.0,62.861507415771484
18,0.0,54.90568161010742
19,0.0,48.055564880371094
20,0.0,41.10575866699219
21,0.0,35.53577423095703
22,0.0,30.501131057739258
23,0.0,27.429424285888672
24,0.0,24.24892807006836
25,15.632201194763184,22.682334899902344
26,0.0,19.655059814453125
27,0.0,18.414127349853516
28,0.0,16.427078247070312
29,0.0,13.981762886047363
30,0.0,13.279895782470703
31,0.0,11.736310958862305
32,0.0,10.843894958496094
33,0.0,9.663084983825684
34,0.0,8.785408020019531
35,0.0,8.381694793701172
36,0.0,7.7787699699401855
37,0.0,6.746888160705566
38,0.0,6.579719543457031
39,0.0,6.035516262054443
40,0.0,5.5109663009643555
41,0.0,5.1030988693237305
42,0.0,5.0641398429870605
43,0.0,5.160730838775635
44,0.0,4.307713031768799
45,0.0,4.105170726776123
46,0.0,4.384096145629883
47,0.0,4.045143127441406
48,0.0,3.8855087757110596
49,0.0,3.3987369537353516
50,2.2365882396698,3.354487419128418
