epoch,train_r²,validation_r²
1,-4326.1826171875,-5322.615234375
2,0.0,-1915.7772216796875
3,0.0,-992.0150146484375
4,0.0,-596.8385620117188
5,0.0,-376.64373779296875
6,0.0,-256.85601806640625
7,0.0,-182.0059814453125
8,0.0,-127.95585632324219
9,0.0,-87.75353240966797
10,0.0,-61.20006561279297
11,0.0,-41.650089263916016
12,0.0,-27.092504501342773
13,0.0,-17.60637664794922
14,0.0,-11.718952178955078
15,0.0,-7.716520309448242
16,0.0,-5.420173645019531
17,0.0,-3.896937847137451
18,0.0,-2.720555067062378
19,0.0,-1.878955602645874
20,0.0,-1.3803060054779053
21,0.0,-0.9665127992630005
22,0.0,-0.6338852643966675
23,0.0,-0.3883039951324463
24,0.0,-0.19528543949127197
25,0.22994011640548706,-0.03629910945892334
26,0.0,0.11009550094604492
27,0.0,0.20906758308410645
28,0.0,0.29582154750823975
29,0.0,0.3780013918876648
30,0.0,0.44074147939682007
31,0.0,0.5065501928329468
32,0.0,0.5531167984008789
33,0.0,0.5985296368598938
34,0.0,0.638249397277832
35,0.0,0.6660060286521912
36,0.0,0.6862816214561462
37,0.0,0.7194557189941406
38,0.0,0.7541386485099792
39,0.0,0.7709693908691406
40,0.0,0.7853344678878784
41,0.0,0.799302875995636
42,0.0,0.816494345664978
43,0.0,0.8236896991729736
44,0.0,0.842342734336853
45,0.0,0.8507738709449768
46,0.0,0.8591529726982117
47,0.0,0.8614329099655151
48,0.0,0.876338541507721
49,0.0,0.884272038936615
50,0.9226937890052795,0.8893771171569824
