epoch,train_r²,validation_r²
1,-4386.982421875,-5388.93701171875
2,0.0,-2126.07177734375
3,0.0,-1197.0953369140625
4,0.0,-730.2554321289062
5,0.0,-467.217041015625
6,0.0,-294.543701171875
7,0.0,-187.80101013183594
8,0.0,-100.07710266113281
9,0.0,-51.49960708618164
10,0.0,-27.4759464263916
11,0.0,-16.20166015625
12,0.0,-10.281915664672852
13,0.0,-6.9254231452941895
14,0.0,-5.042764186859131
15,0.0,-3.6492223739624023
16,0.0,-2.722545623779297
17,0.0,-2.1383678913116455
18,0.0,-1.5287299156188965
19,0.0,-1.0696077346801758
20,0.0,-0.7789984941482544
21,0.0,-0.5579317808151245
22,0.0,-0.3594909906387329
23,0.0,-0.17973101139068604
24,0.0,0.0033754706382751465
25,0.2902901768684387,0.06750643253326416
26,0.0,0.20387935638427734
27,0.0,0.28658437728881836
28,0.0,0.3519134521484375
29,0.0,0.40717196464538574
30,0.0,0.4857484698295593
31,0.0,0.5232059955596924
32,0.0,0.5720254182815552
33,0.0,0.6115962862968445
34,0.0,0.6457162499427795
35,0.0,0.680206298828125
36,0.0,0.6909782290458679
37,0.0,0.7200286984443665
38,0.0,0.7512617111206055
39,0.0,0.7815998792648315
40,0.0,0.7974948883056641
41,0.0,0.812749981880188
42,0.0,0.8176693916320801
43,0.0,0.8250595927238464
44,0.0,0.8483399152755737
45,0.0,0.8548099994659424
46,0.0,0.8603549599647522
47,0.0,0.8677677512168884
48,0.0,0.8774365782737732
49,0.0,0.8910150527954102
50,0.9253546595573425,0.8950856328010559
