epoch,train_mse,validation_mse
1,185781.609375,252757.75
2,76514.140625,99747.703125
3,43100.6796875,56183.9375
4,26041.326171875,34291.76953125
5,16464.912109375,21956.74609375
6,10402.044921875,13859.337890625
7,6647.869140625,8853.7060546875
8,3462.571044921875,4739.94775390625
9,1758.93896484375,2461.936279296875
10,935.1915283203125,1335.36181640625
11,556.5244140625,806.6611938476562
12,363.082763671875,529.0584106445312
13,256.07379150390625,371.6578063964844
14,194.982421875,283.3716735839844
15,149.11167907714844,218.0223846435547
16,119.31295776367188,174.56646728515625
17,101.51276397705078,147.17181396484375
18,82.20806121826172,118.58322143554688
19,66.71823120117188,97.05296325683594
20,57.120792388916016,83.4250259399414
21,50.09960174560547,73.05824279785156
22,43.138065338134766,63.75248336791992
23,38.119773864746094,55.32275390625
24,31.765233993530273,46.736087799072266
25,30.0482120513916,43.72870635986328
26,25.64414405822754,37.333580017089844
27,22.8882999420166,33.45518112182617
28,20.56479263305664,30.391616821289062
29,18.742698669433594,27.80030059814453
30,16.511018753051758,24.115507125854492
31,14.830976486206055,22.35895538330078
32,13.457077980041504,20.06960105895996
33,11.902935981750488,18.213951110839844
34,10.806973457336426,16.613916397094727
35,9.893113136291504,14.996527671813965
36,9.323400497436523,14.49138355255127
37,8.549695014953613,13.129079818725586
38,7.562455654144287,11.6644287109375
39,6.586178779602051,10.241738319396973
40,6.303120136260986,9.496350288391113
41,5.656677722930908,8.780974388122559
42,5.552659511566162,8.55027961730957
43,5.349029541015625,8.203721046447754
44,4.544213771820068,7.112006664276123
45,4.38808536529541,6.80859375
46,4.1206159591674805,6.548567771911621
47,4.0067596435546875,6.200949668884277
48,3.6364433765411377,5.747534275054932
49,3.183657646179199,5.110779762268066
50,3.160388469696045,4.91989278793335
