DateTime,sample_idx,step,actual,predicted
2017/10/20 0:00,0,1,-0.020713951,2.161005
2017/10/20 1:00,0,2,-0.020602953,-4.3683653
2017/10/20 2:00,0,3,-0.020796103,-2.488311
2017/10/20 3:00,0,4,-0.020833448,-0.26695478
2017/10/20 1:00,1,1,-0.020602953,0.71064144
2017/10/20 2:00,1,2,-0.020796103,-3.504151
2017/10/20 3:00,1,3,-0.020833448,-1.9837763
2017/10/20 4:00,1,4,-0.020929836,-4.0956573
2017/10/20 2:00,2,1,-0.020796103,0.7393284
2017/10/20 3:00,2,2,-0.020833448,-3.0769858
2017/10/20 4:00,2,3,-0.020929836,-1.5677562
2017/10/20 5:00,2,4,-0.020955106,-1.7458956
2017/10/20 3:00,3,1,-0.020833448,2.7985792
2017/10/20 4:00,3,2,-0.020929836,-3.9042733
2017/10/20 5:00,3,3,-0.020955106,-1.6656944
2017/10/20 6:00,3,4,0.37568936,-1.908078
2017/10/20 4:00,4,1,-0.020929836,3.519728
2017/10/20 5:00,4,2,-0.020955106,-2.8876064
2017/10/20 6:00,4,3,0.37568936,-2.319794
2017/10/20 7:00,4,4,4.095335,2.1918652
2017/10/20 5:00,5,1,-0.020955106,-0.42287558
2017/10/20 6:00,5,2,0.37568936,-2.341414
2017/10/20 7:00,5,3,4.095335,0.73717177
2017/10/20 8:00,5,4,9.626997,7.7568493
2017/10/20 6:00,6,1,0.37568936,0.36211377
2017/10/20 7:00,6,2,4.095335,0.16125341
2017/10/20 8:00,6,3,9.626997,8.863711
2017/10/20 9:00,6,4,14.268197,14.052035
2017/10/20 7:00,7,1,4.095335,1.7985722
2017/10/20 8:00,7,2,9.626997,5.1181374
2017/10/20 9:00,7,3,14.268197,13.608931
2017/10/20 10:00,7,4,17.437979,16.016954
2017/10/20 8:00,8,1,9.626997,6.936979
2017/10/20 9:00,8,2,14.268197,11.984356
2017/10/20 10:00,8,3,17.437979,16.656694
2017/10/20 11:00,8,4,19.400583,17.780647
2017/10/20 9:00,9,1,14.268197,10.13721
2017/10/20 10:00,9,2,17.437979,16.151522
2017/10/20 11:00,9,3,19.400583,18.597404
2017/10/20 12:00,9,4,20.016624,14.024185
2017/10/20 10:00,10,1,17.437979,12.877942
2017/10/20 11:00,10,2,19.400583,15.451886
2017/10/20 12:00,10,3,20.016624,17.050344
2017/10/20 13:00,10,4,19.319904,14.026248
2017/10/20 11:00,11,1,19.400583,15.184545
2017/10/20 12:00,11,2,20.016624,16.793146
2017/10/20 13:00,11,3,19.319904,15.181321
2017/10/20 14:00,11,4,17.555317,11.054247
