epoch,train_mse,test_mse
1,5331514.5,9127117.0
2,2987953.5,5263149.5
3,1942617.375,3428502.75
4,1338308.625,2324878.25
5,963329.0,1684630.25
6,733626.5625,1290169.375
7,546550.9375,968093.0625
8,433544.21875,779964.0625
9,356292.25,652384.9375
10,278148.5625,515979.8125
11,221458.5625,414926.59375
12,176971.609375,334725.84375
13,138000.078125,266424.9375
14,113614.46875,215744.765625
15,85562.484375,167922.0
16,67888.4609375,133344.296875
17,52152.265625,102508.40625
18,40003.4921875,80609.2109375
19,32041.255859375,64660.29296875
20,26153.421875,52418.03125
21,21927.583984375,43637.328125
22,17686.2421875,35789.9140625
23,14775.9208984375,30146.560546875
24,12673.4013671875,25672.05859375
25,10964.6240234375,22346.29296875
26,9578.8935546875,19459.2109375
27,8378.97265625,17132.068359375
28,7386.69482421875,15065.4013671875
29,6568.13671875,13541.7490234375
30,5807.38525390625,11927.2177734375
31,5358.3076171875,10982.7353515625
32,4755.45947265625,9826.9052734375
33,4325.537109375,9012.701171875
34,3966.2958984375,8293.7412109375
35,3644.802734375,7618.05224609375
36,3393.62060546875,7099.74609375
37,3066.52734375,6433.2099609375
38,2847.013671875,6036.11279296875
39,2728.755615234375,5656.5927734375
40,2515.364501953125,5265.48193359375
41,2287.64111328125,4917.68896484375
42,2211.755126953125,4609.55908203125
43,1972.9307861328125,4205.52490234375
44,1872.7994384765625,3997.774169921875
45,1763.4368896484375,3743.992919921875
46,1666.640625,3551.53369140625
47,1560.9639892578125,3343.73828125
48,1465.2872314453125,3175.260986328125
49,1454.85302734375,3086.820068359375
50,1287.6815185546875,2788.73876953125
51,1265.9281005859375,2716.449951171875
52,1162.37451171875,2538.722412109375
53,1184.210205078125,2518.8369140625
54,1066.396728515625,2342.693603515625
55,991.0582275390625,2125.4072265625
56,931.0628662109375,2083.295654296875
57,897.9346923828125,1973.6500244140625
58,860.9110107421875,1886.2720947265625
59,786.8164672851562,1738.5244140625
60,790.7457275390625,1717.4393310546875
61,722.6315307617188,1633.2884521484375
62,708.3954467773438,1557.6234130859375
63,674.8657836914062,1490.5750732421875
64,657.6287841796875,1446.1224365234375
65,602.6829833984375,1377.552978515625
66,587.3001098632812,1344.220458984375
67,541.99951171875,1223.523193359375
68,536.17919921875,1197.7933349609375
69,506.5859069824219,1141.182373046875
70,491.2967834472656,1098.6690673828125
71,456.48681640625,1063.4176025390625
72,438.7379150390625,1031.313720703125
73,437.49566650390625,977.9548950195312
74,404.2267761230469,914.9237670898438
75,378.52252197265625,877.5294189453125
76,383.30194091796875,867.1070556640625
77,362.0708312988281,822.7667236328125
78,346.01141357421875,787.2061157226562
79,325.52410888671875,752.2853393554688
80,317.2113342285156,739.175048828125
81,311.1536560058594,712.598388671875
82,297.3218688964844,684.5006103515625
83,288.51898193359375,666.661376953125
84,269.8367614746094,626.7607421875
85,263.21563720703125,618.4752807617188
86,248.80335998535156,590.272216796875
87,241.95777893066406,561.2542114257812
88,221.02584838867188,527.1265869140625
89,217.68917846679688,512.7614135742188
90,217.3037872314453,508.66644287109375
91,205.81788635253906,481.8352355957031
92,196.4143829345703,473.25408935546875
93,196.29119873046875,460.56329345703125
94,176.1946258544922,429.0189208984375
95,181.79885864257812,423.33148193359375
96,177.88796997070312,415.3657531738281
97,164.90972900390625,388.30865478515625
98,163.21815490722656,376.2467346191406
99,149.2405548095703,367.5943298339844
100,151.43421936035156,355.60760498046875
