epoch,train_r²,test_r²
1,-38910.8359375,-61131.69140625
2,-13340.0166015625,-20437.744140625
3,-3259.415283203125,-5126.86962890625
4,-865.7662963867188,-1378.4105224609375
5,-381.42822265625,-613.9527587890625
6,-217.35902404785156,-356.12799072265625
7,-142.04429626464844,-235.4183349609375
8,-99.88450622558594,-166.60739135742188
9,-74.06209564208984,-124.71427154541016
10,-56.453006744384766,-96.57709503173828
11,-43.56878662109375,-74.86665344238281
12,-34.75445556640625,-59.94178009033203
13,-27.744277954101562,-48.44879150390625
14,-22.06393051147461,-38.73538589477539
15,-17.705839157104492,-31.41122817993164
16,-14.558512687683105,-26.350053787231445
17,-11.69741153717041,-21.484819412231445
18,-9.843977928161621,-17.91654396057129
19,-7.756891250610352,-14.712459564208984
20,-6.597034931182861,-12.51046371459961
21,-5.348254203796387,-10.312239646911621
22,-4.261678218841553,-8.427261352539062
23,-3.541931629180908,-7.172177314758301
24,-2.819004535675049,-5.9685564041137695
25,-2.278855323791504,-5.068089962005615
26,-2.021744966506958,-4.436709880828857
27,-1.581388235092163,-3.6668572425842285
28,-1.2609777450561523,-3.1328344345092773
29,-0.8838357925415039,-2.500532865524292
30,-0.753636360168457,-2.129896640777588
31,-0.47846412658691406,-1.6737639904022217
32,-0.3228379487991333,-1.4566419124603271
33,-0.10541236400604248,-1.0822429656982422
34,0.002325892448425293,-0.874622106552124
35,0.10797345638275146,-0.6715160608291626
36,0.19455015659332275,-0.5267432928085327
37,0.256089985370636,-0.3652271032333374
38,0.3181295394897461,-0.23503577709197998
39,0.42024481296539307,-0.08493649959564209
40,0.5162086486816406,0.062177836894989014
41,0.5268397331237793,0.118294358253479
42,0.5985813140869141,0.2311134934425354
43,0.6419665813446045,0.29884910583496094
44,0.6515976190567017,0.34283947944641113
45,0.6737891435623169,0.38906329870224
46,0.733485758304596,0.4750369191169739
47,0.781525731086731,0.5486862659454346
48,0.7309706211090088,0.5177576541900635
49,0.778117299079895,0.579251766204834
50,0.7821459770202637,0.5964674949645996
51,0.8095017075538635,0.6463565826416016
52,0.8299089670181274,0.6657123565673828
53,0.8334453105926514,0.6891502141952515
54,0.855274498462677,0.7125873565673828
55,0.7978214025497437,0.6605184674263
56,0.876127302646637,0.753952145576477
57,0.884702742099762,0.7652698755264282
58,0.8810620903968811,0.7721553444862366
59,0.8935458064079285,0.7878637313842773
60,0.8924886584281921,0.7977235317230225
61,0.8962908387184143,0.803023636341095
62,0.8503609895706177,0.763079047203064
63,0.9082456827163696,0.8214336037635803
64,0.9056353569030762,0.827862024307251
65,0.9230530261993408,0.841884195804596
66,0.9267691969871521,0.8519407510757446
67,0.9282906651496887,0.8556252121925354
68,0.9295910596847534,0.8618605732917786
69,0.9414012432098389,0.8769429922103882
70,0.9243870377540588,0.8591114282608032
71,0.936307430267334,0.8686094284057617
72,0.9474038481712341,0.8853957653045654
73,0.9383295178413391,0.8751145601272583
74,0.940796434879303,0.889255166053772
75,0.9430803060531616,0.8832781910896301
76,0.9508956074714661,0.8902235627174377
77,0.9426117539405823,0.8838517069816589
78,0.9488250017166138,0.8903958797454834
79,0.9495564699172974,0.891533374786377
80,0.9476816058158875,0.8813526630401611
81,0.9570639729499817,0.8948148488998413
82,0.9524608254432678,0.8935175538063049
83,0.9506205320358276,0.8846477270126343
84,0.9539893865585327,0.8961609601974487
85,0.957764208316803,0.8985499739646912
86,0.9593130946159363,0.8930308818817139
87,0.9586108922958374,0.8949713706970215
88,0.9588877558708191,0.8946203589439392
89,0.9558089971542358,0.8915383815765381
90,0.9621083736419678,0.8935880661010742
91,0.9601004123687744,0.8980552554130554
92,0.9564459323883057,0.8930875658988953
93,0.9637424349784851,0.899665355682373
94,0.9632290005683899,0.8883659243583679
95,0.9640145897865295,0.8933039903640747
96,0.9668667912483215,0.8953348994255066
97,0.9655377268791199,0.8878259658813477
98,0.9605138897895813,0.8935022354125977
99,0.9693455696105957,0.895390510559082
100,0.9674571752548218,0.8910881876945496
