epoch,gamma_pad,eta_pad,gamma_wase,gamma_dsc,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,0.02600223571062088,0.019919095560908318,0.026281990110874176,0.030971704050898552,0.0617663636803627,0.025526272132992744,0.030708128586411476,0.02024042420089245
2,0.06542146950960159,0.019627301022410393,0.06923046708106995,0.09653246402740479,0.12382151186466217,0.046457596123218536,0.056996770203113556,0.0797620564699173
3,0.0999404788017273,0.01918390579521656,0.142842099070549,0.19290272891521454,0.17867186665534973,0.08354023844003677,0.08227214962244034,0.13894426822662354
4,0.14031262695789337,0.018465060740709305,0.39238712191581726,0.36704450845718384,0.2235533744096756,0.13204269111156464,0.12729722261428833,0.20184150338172913
5,0.20510271191596985,0.017990844324231148,0.6709112524986267,0.4884357750415802,0.3199087381362915,0.1934950351715088,0.16345615684986115,0.2478199601173401
6,0.22867849469184875,0.018361490219831467,0.6935716271400452,0.45255526900291443,0.4266941249370575,0.28395411372184753,0.23633930087089539,0.3244967758655548
7,0.23520585894584656,0.01852365769445896,0.6992023587226868,0.4459375739097595,0.486501008272171,0.44688647985458374,0.431178480386734,0.4948313236236572
8,0.24074417352676392,0.018644141033291817,0.704417884349823,0.44394153356552124,0.5923748016357422,0.6532986164093018,0.6548598408699036,0.6552044153213501
9,0.24496686458587646,0.018731804564595222,0.7085819244384766,0.44321194291114807,0.774077832698822,0.8927493691444397,0.830871045589447,0.7644591331481934
10,0.24847063422203064,0.018835218623280525,0.7115029096603394,0.44201168417930603,0.946824312210083,1.0829581022262573,1.031538486480713,0.8157658576965332
11,0.252803772687912,0.018944649025797844,0.7164285778999329,0.4437958896160126,1.0721372365951538,1.2530933618545532,1.215165615081787,0.917544424533844
12,0.25582706928253174,0.019033530727028847,0.7182956337928772,0.44230130314826965,1.2099422216415405,1.4634582996368408,1.377173900604248,1.017703652381897
13,0.2594202756881714,0.019125403836369514,0.7223864197731018,0.44381651282310486,1.3320759534835815,1.6321533918380737,1.4858512878417969,1.0934922695159912
14,0.26574283838272095,0.019227515906095505,0.7283426523208618,0.4449804425239563,1.5658918619155884,1.8621485233306885,1.6785246133804321,1.1816174983978271
15,0.2727048993110657,0.019361378625035286,0.7327704429626465,0.4421904981136322,1.7003000974655151,2.075186252593994,1.794083833694458,1.2750447988510132
16,0.27823513746261597,0.019507553428411484,0.7354355454444885,0.44085416197776794,1.9437925815582275,2.282717704772949,1.9546067714691162,1.2920026779174805
17,0.283165842294693,0.019683703780174255,0.7354166507720947,0.43685173988342285,2.16764760017395,2.477168083190918,2.1486775875091553,1.3462685346603394
18,0.2867550253868103,0.019801467657089233,0.7371626496315002,0.43645668029785156,2.456303596496582,2.741834878921509,2.4330942630767822,1.3810944557189941
19,0.2908589541912079,0.02002442255616188,0.7365946173667908,0.43267205357551575,2.772284746170044,3.0132203102111816,2.8466455936431885,1.4326003789901733
20,0.2968049943447113,0.020202316343784332,0.7362451553344727,0.4290146231651306,2.9816675186157227,3.2380034923553467,3.03898286819458,1.5549412965774536
21,0.30080151557922363,0.020329074934124947,0.7383509874343872,0.42985156178474426,3.220958948135376,3.4073665142059326,3.2672314643859863,1.5467450618743896
22,0.30321192741394043,0.020455138757824898,0.7388374209403992,0.4275253117084503,3.5307698249816895,3.506032943725586,3.473146438598633,1.4973528385162354
23,0.3052293062210083,0.020576272159814835,0.7399080395698547,0.4274914264678955,3.8295223712921143,3.8322091102600098,3.4964699745178223,1.5728942155838013
24,0.3100782632827759,0.020688753575086594,0.7428597211837769,0.4281514286994934,4.0022454261779785,4.215205669403076,3.6788852214813232,1.6065013408660889
25,0.31138500571250916,0.02086455374956131,0.7409611940383911,0.425866961479187,4.195751190185547,4.402297496795654,4.045803070068359,1.6450481414794922
26,0.31483572721481323,0.02096051350235939,0.7422685027122498,0.42574891448020935,4.400827884674072,4.55449914932251,4.19061279296875,1.6654669046401978
27,0.3166322112083435,0.021080533042550087,0.7442741990089417,0.4262619912624359,4.677769660949707,4.730775356292725,4.610279083251953,1.6580924987792969
28,0.3203894793987274,0.02118562161922455,0.7467371225357056,0.4265926778316498,4.77586030960083,4.9167680740356445,4.966024398803711,1.6778125762939453
29,0.32137152552604675,0.021318992599844933,0.7447843551635742,0.4224148690700531,5.023743152618408,5.1183953285217285,5.134130477905273,1.7322936058044434
30,0.32351332902908325,0.021430373191833496,0.7457389235496521,0.42232418060302734,5.313744068145752,5.437347888946533,5.394240379333496,1.7106878757476807
31,0.32585158944129944,0.02151472307741642,0.7470934987068176,0.42243462800979614,5.424922943115234,5.619645118713379,5.558852195739746,1.7096946239471436
32,0.32762202620506287,0.021596383303403854,0.7479066848754883,0.4223647117614746,5.544050693511963,5.7642107009887695,5.660412788391113,1.6932713985443115
33,0.3308666944503784,0.02166876010596752,0.7484914660453796,0.4192731976509094,5.7130126953125,5.912613391876221,5.860454559326172,1.7389743328094482
34,0.3317015767097473,0.02176371030509472,0.7494000196456909,0.4195258617401123,5.833329677581787,6.114899158477783,5.9338178634643555,1.7764995098114014
35,0.335287868976593,0.02189972996711731,0.751294732093811,0.419433057308197,6.024167060852051,6.334595680236816,6.064277172088623,1.794732928276062
36,0.33857932686805725,0.0219956673681736,0.751630425453186,0.4181303083896637,6.253198623657227,6.571385860443115,6.216614723205566,1.80033540725708
37,0.3416089713573456,0.02208932675421238,0.7526435852050781,0.4158720076084137,6.3408002853393555,6.66486120223999,6.304060459136963,1.8061671257019043
38,0.343073308467865,0.022178569808602333,0.753363311290741,0.4162748157978058,6.514161586761475,6.802010536193848,6.464572429656982,1.7992063760757446
39,0.3451119661331177,0.02226581983268261,0.7542786598205566,0.41531434655189514,6.6633453369140625,7.068286418914795,6.553645133972168,1.795825719833374
40,0.34838905930519104,0.022346358746290207,0.7556927800178528,0.41481834650039673,6.72040319442749,7.135307312011719,6.651247024536133,1.8014166355133057
41,0.3495887517929077,0.022429879754781723,0.7556699514389038,0.41157066822052,6.818832874298096,7.2684245109558105,6.7204790115356445,1.788393259048462
42,0.35156944394111633,0.02252136543393135,0.757760763168335,0.41293808817863464,6.963534832000732,7.380072116851807,6.7558207511901855,1.7934387922286987
43,0.3526781499385834,0.02260758727788925,0.7579934000968933,0.41248026490211487,7.058783531188965,7.50458288192749,6.789501667022705,1.79568612575531
44,0.35610827803611755,0.02268989384174347,0.7594620585441589,0.40864992141723633,7.260984897613525,7.593258857727051,6.897568225860596,1.7795032262802124
45,0.3581697642803192,0.0228117685765028,0.7617921233177185,0.41147080063819885,7.350351333618164,7.713801383972168,6.88317346572876,1.8122975826263428
46,0.3598622679710388,0.0229147057980299,0.7609000205993652,0.4074098467826843,7.469723224639893,7.8581671714782715,6.9857001304626465,1.829864501953125
47,0.36361634731292725,0.022996889427304268,0.7628298401832581,0.4067284166812897,7.5545854568481445,8.069361686706543,7.0191650390625,1.824041724205017
48,0.36425188183784485,0.023136422038078308,0.7624010443687439,0.4068894386291504,7.584417819976807,8.07102108001709,7.017233371734619,1.8262616395950317
49,0.3656708598136902,0.023224778473377228,0.7632607817649841,0.40690213441848755,7.68009090423584,8.080892562866211,7.061435222625732,1.8149980306625366
50,0.36763596534729004,0.023294929414987564,0.7636731863021851,0.4053977131843567,7.7131667137146,8.105030059814453,7.102194786071777,1.7986561059951782
51,0.37012842297554016,0.023365726694464684,0.7647160887718201,0.4050176441669464,7.838933944702148,8.179887771606445,7.118460178375244,1.757191777229309
52,0.37248706817626953,0.023452095687389374,0.7645595669746399,0.40437597036361694,7.878547668457031,8.231595993041992,7.224478244781494,1.7855851650238037
53,0.373430997133255,0.02356141433119774,0.7651835680007935,0.4041479527950287,7.886639595031738,8.260566711425781,7.284392356872559,1.7522090673446655
54,0.3747154474258423,0.023624055087566376,0.7656043767929077,0.40489527583122253,7.889427661895752,8.304290771484375,7.312148094177246,1.7560956478118896
55,0.3763199746608734,0.023705149069428444,0.7657289505004883,0.4034643769264221,7.8762898445129395,8.302952766418457,7.388678550720215,1.7639774084091187
56,0.37859365344047546,0.023771150037646294,0.7661129832267761,0.4026416838169098,7.888986110687256,8.39125919342041,7.415564060211182,1.7490381002426147
57,0.3796813189983368,0.023852726444602013,0.7684299945831299,0.40541872382164,7.968024730682373,8.460247993469238,7.432834148406982,1.7348403930664062
58,0.3817219138145447,0.023941785097122192,0.767978847026825,0.40291547775268555,7.948201656341553,8.517544746398926,7.47037410736084,1.7165899276733398
59,0.38393986225128174,0.02403389848768711,0.7682867050170898,0.40292733907699585,7.952425479888916,8.549829483032227,7.54432487487793,1.700884461402893
60,0.3864149749279022,0.024112051352858543,0.7685138583183289,0.4011947214603424,7.966999530792236,8.58109188079834,7.5828776359558105,1.6858900785446167
61,0.3876912593841553,0.02418634109199047,0.7696835994720459,0.4019647240638733,7.987435817718506,8.626885414123535,7.608192443847656,1.713813304901123
62,0.38889414072036743,0.02426198311150074,0.7689855098724365,0.4011220335960388,8.01456356048584,8.630456924438477,7.629988193511963,1.6897560358047485
63,0.3893795907497406,0.02433438040316105,0.768395721912384,0.399299681186676,8.067079544067383,8.639802932739258,7.698942184448242,1.6743836402893066
64,0.3919934928417206,0.024426652118563652,0.7701778411865234,0.4009511172771454,8.078664779663086,8.653464317321777,7.7681169509887695,1.6730570793151855
65,0.39250484108924866,0.02450992725789547,0.7694140076637268,0.4009484648704529,8.11385440826416,8.70871639251709,7.813375473022461,1.6929800510406494
66,0.3956104815006256,0.024577274918556213,0.7700803279876709,0.3997962772846222,8.144278526306152,8.710168838500977,7.83853816986084,1.6748241186141968
67,0.3966948986053467,0.024671521037817,0.7698870897293091,0.3988756239414215,8.143108367919922,8.71807861328125,7.850841522216797,1.6858694553375244
68,0.3978813886642456,0.024748826399445534,0.7705109119415283,0.39855191111564636,8.136271476745605,8.709502220153809,7.920499801635742,1.6858794689178467
69,0.400162935256958,0.02481578104197979,0.7712941765785217,0.39898574352264404,8.143359184265137,8.717244148254395,7.965047836303711,1.7173793315887451
70,0.4011607766151428,0.024883072823286057,0.7719029188156128,0.39854514598846436,8.174087524414062,8.753667831420898,8.004678726196289,1.712915062904358
71,0.4023987054824829,0.024969661608338356,0.7719159126281738,0.39917507767677307,8.221144676208496,8.750260353088379,8.036239624023438,1.6634416580200195
72,0.40441280603408813,0.02504299394786358,0.7728528380393982,0.3991260528564453,8.239402770996094,8.752697944641113,8.071060180664062,1.7041341066360474
73,0.4058568477630615,0.02511138655245304,0.7727187871932983,0.3994298577308655,8.268135070800781,8.746159553527832,8.105225563049316,1.7085003852844238
74,0.4075508713722229,0.02518632262945175,0.7729154825210571,0.39865028858184814,8.317734718322754,8.74998664855957,8.192038536071777,1.7094331979751587
75,0.4075542688369751,0.025264911353588104,0.7723798751831055,0.39899352192878723,8.325146675109863,8.800652503967285,8.247721672058105,1.7003180980682373
76,0.4107152819633484,0.02532246708869934,0.7738852500915527,0.3980175256729126,8.326573371887207,8.776814460754395,8.313488006591797,1.687816858291626
77,0.41177040338516235,0.025391917675733566,0.7726225256919861,0.3955425024032593,8.322364807128906,8.799267768859863,8.336488723754883,1.6828702688217163
78,0.412909597158432,0.02546697109937668,0.7742401957511902,0.3977726995944977,8.317926406860352,8.759955406188965,8.312705993652344,1.6778181791305542
79,0.4150265157222748,0.025522010400891304,0.7745766043663025,0.39751243591308594,8.350666046142578,8.776665687561035,8.376134872436523,1.6954041719436646
80,0.4160362482070923,0.025597769767045975,0.7748591303825378,0.39719638228416443,8.373787879943848,8.784096717834473,8.420827865600586,1.668918490409851
81,0.416549950838089,0.025664526969194412,0.7750992178916931,0.39742526412010193,8.402383804321289,8.783987045288086,8.430085182189941,1.6307787895202637
82,0.41879886388778687,0.02574300952255726,0.7745460271835327,0.39413219690322876,8.406170845031738,8.800167083740234,8.438851356506348,1.6241345405578613
83,0.4204855263233185,0.025798413902521133,0.7755556702613831,0.39605817198753357,8.391189575195312,8.789481163024902,8.473960876464844,1.6310365200042725
84,0.42111316323280334,0.02587628923356533,0.7753693461418152,0.3948570787906647,8.416421890258789,8.786914825439453,8.503667831420898,1.6291602849960327
85,0.42281216382980347,0.025942478328943253,0.7765548229217529,0.3966042697429657,8.429834365844727,8.812353134155273,8.521313667297363,1.6486951112747192
86,0.4230261445045471,0.02603958174586296,0.7739382982254028,0.39282187819480896,8.438774108886719,8.834818840026855,8.529430389404297,1.6355228424072266
87,0.4251973330974579,0.026108261197805405,0.7751414179801941,0.3935169577598572,8.465316772460938,8.872357368469238,8.589804649353027,1.6485401391983032
88,0.4269700050354004,0.02618427574634552,0.7766655683517456,0.39479079842567444,8.481553077697754,8.890578269958496,8.60877799987793,1.6405410766601562
89,0.4274144172668457,0.026246584951877594,0.7763161659240723,0.395486980676651,8.469815254211426,8.916691780090332,8.633658409118652,1.6293892860412598
90,0.4288298785686493,0.02629397064447403,0.7760491371154785,0.3931509554386139,8.499360084533691,8.910849571228027,8.635723114013672,1.634116291999817
91,0.42910951375961304,0.02634715475142002,0.7759625315666199,0.3922756314277649,8.521181106567383,8.91215705871582,8.657495498657227,1.6434763669967651
92,0.4310935437679291,0.026382936164736748,0.7766127586364746,0.39253729581832886,8.52498722076416,8.932844161987305,8.675567626953125,1.6569674015045166
93,0.43127408623695374,0.02642573043704033,0.7768251895904541,0.39309608936309814,8.539047241210938,8.961557388305664,8.723063468933105,1.6559001207351685
94,0.4319041967391968,0.026491202414035797,0.7767860293388367,0.39311671257019043,8.55462646484375,8.968968391418457,8.720378875732422,1.6459673643112183
95,0.43336406350135803,0.026527222245931625,0.7770693898200989,0.39238131046295166,8.566794395446777,8.950267791748047,8.724482536315918,1.6412051916122437
96,0.43473541736602783,0.026566145941615105,0.7775210738182068,0.393130362033844,8.571148872375488,8.958414077758789,8.732490539550781,1.6455161571502686
97,0.4348055422306061,0.02661225199699402,0.7771084308624268,0.3929874897003174,8.562804222106934,8.94479751586914,8.754678726196289,1.6347720623016357
98,0.436134397983551,0.02665695920586586,0.7777268290519714,0.3920600116252899,8.5712251663208,8.952199935913086,8.7692232131958,1.6373637914657593
99,0.4381057620048523,0.026694608852267265,0.7780387997627258,0.3907802402973175,8.559385299682617,8.96625804901123,8.786131858825684,1.6075609922409058
100,0.43729081749916077,0.026787487789988518,0.7780650854110718,0.3936663866043091,8.555038452148438,8.996316909790039,8.752699851989746,1.6110403537750244
101,0.43894466757774353,0.026826033368706703,0.7782482504844666,0.39175257086753845,8.578850746154785,9.00617790222168,8.776036262512207,1.6316519975662231
102,0.43950554728507996,0.026868676766753197,0.7782153487205505,0.3921896517276764,8.596094131469727,9.026328086853027,8.790116310119629,1.6285146474838257
103,0.4410589039325714,0.026914088055491447,0.7793515920639038,0.3927084505558014,8.611572265625,9.02710247039795,8.812660217285156,1.6095926761627197
