epoch,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,0.0697537213563919,0.022205494344234467,0.033103279769420624,0.017817378044128418
2,0.11762571334838867,0.05067127197980881,0.06244705989956856,0.03498213738203049
3,0.1578577160835266,0.07853858917951584,0.08391142636537552,0.053817544132471085
4,0.1905231475830078,0.1067323237657547,0.0972628965973854,0.08371160179376602
5,0.24846385419368744,0.13197290897369385,0.11325579136610031,0.11367740482091904
6,0.3373240530490875,0.17067472636699677,0.14455203711986542,0.17744436860084534
7,0.47929349541664124,0.2377108335494995,0.271884560585022,0.29744088649749756
8,0.5506928563117981,0.29009562730789185,0.3447451889514923,0.3430047631263733
9,0.6353486776351929,0.31331995129585266,0.363363653421402,0.37153884768486023
10,0.6935782432556152,0.33158111572265625,0.3828948140144348,0.3955458402633667
11,0.763401448726654,0.3857218623161316,0.41770198941230774,0.4652692973613739
12,0.8711891174316406,0.45102348923683167,0.5155268907546997,0.5741298198699951
13,0.9978492856025696,0.5619559288024902,0.5870807766914368,0.7555478811264038
14,1.150968313217163,0.7674243450164795,0.701776921749115,1.0416065454483032
15,1.3482398986816406,1.0172830820083618,1.0395222902297974,1.27633535861969
16,1.6555793285369873,1.3177152872085571,1.2660386562347412,1.325310230255127
17,2.080632209777832,1.5310083627700806,1.4863651990890503,1.4025518894195557
18,2.515641212463379,1.8607652187347412,1.8157511949539185,1.4830020666122437
19,2.7866411209106445,2.220033884048462,1.967712640762329,1.3941789865493774
20,3.133108139038086,2.49843430519104,2.1448912620544434,1.447424292564392
21,3.580728530883789,3.0820071697235107,2.28409743309021,1.560260534286499
22,3.9954752922058105,3.696831464767456,2.409381866455078,1.7365798950195312
23,4.301183700561523,3.925187826156616,2.4897096157073975,1.6976196765899658
24,4.524443626403809,4.45977258682251,2.8918211460113525,1.8236868381500244
25,4.846515655517578,4.936097145080566,3.2602503299713135,1.9600825309753418
26,5.028816223144531,5.553869724273682,4.129146575927734,2.1558310985565186
27,5.200287818908691,6.2080841064453125,4.747191905975342,2.142551898956299
28,5.372282028198242,6.696244716644287,5.251416206359863,2.128614902496338
29,5.630474090576172,6.921589374542236,5.3617329597473145,2.1361021995544434
30,5.859151840209961,7.310366630554199,5.72556734085083,2.1082968711853027
31,6.091860294342041,7.583391189575195,5.90836238861084,2.1782357692718506
32,6.334022521972656,8.014629364013672,5.948437690734863,2.1334385871887207
33,6.524037837982178,8.44711971282959,6.084596633911133,2.169358730316162
34,6.804096698760986,8.783427238464355,6.478233337402344,2.2077646255493164
35,7.042022228240967,8.91550064086914,6.744053363800049,2.2327866554260254
36,7.165656089782715,9.205975532531738,6.930983066558838,2.1607537269592285
37,7.321318626403809,9.362205505371094,7.2179460525512695,2.1536524295806885
38,7.444637775421143,9.511962890625,7.503231048583984,2.174211025238037
