epoch,train_mse,test_mse
1,324097.3125,15253189.0
2,0.0,13333193.0
3,0.0,11339983.0
4,0.0,9425864.0
5,0.0,7626476.0
6,0.0,5966600.5
7,0.0,4619609.5
8,0.0,3536094.25
9,0.0,2679529.75
10,0.0,2002480.875
11,0.0,1478198.5
12,0.0,1079836.625
13,0.0,779482.375
14,0.0,556583.4375
15,0.0,394028.84375
16,0.0,276607.625
17,0.0,192294.828125
18,0.0,133564.40625
19,0.0,93087.328125
20,0.0,65008.33984375
21,0.0,45990.64453125
22,0.0,32821.62109375
23,0.0,23689.9921875
24,0.0,17174.578125
25,0.0,12580.0615234375
26,0.0,9358.5458984375
27,0.0,7063.73583984375
28,0.0,5397.58544921875
29,0.0,4171.04931640625
30,0.0,3251.549560546875
31,0.0,2573.988037109375
32,0.0,2060.440673828125
33,0.0,1657.70068359375
34,0.0,1343.0128173828125
35,0.0,1092.087158203125
36,0.0,895.6707153320312
37,0.0,738.3779296875
38,0.0,615.6774291992188
39,0.0,514.0617065429688
40,0.0,431.49395751953125
41,0.0,359.4331970214844
42,0.0,300.59442138671875
43,0.0,253.32505798339844
44,0.0,214.45761108398438
45,0.0,183.10470581054688
46,0.0,156.4141082763672
47,0.0,133.957763671875
48,0.0,115.0994873046875
49,0.0,99.34806060791016
50,0.1409631073474884,85.75321197509766
51,0.0,74.3216781616211
52,0.0,64.541748046875
53,0.0,56.328189849853516
54,0.0,49.321231842041016
55,0.0,43.462066650390625
56,0.0,38.2269401550293
57,0.0,33.89004898071289
58,0.0,30.08966827392578
59,0.0,26.921192169189453
60,0.0,24.153697967529297
61,0.0,21.743698120117188
62,0.0,19.632160186767578
63,0.0,17.794553756713867
64,0.0,16.13206672668457
65,0.0,14.7130126953125
66,0.0,13.454256057739258
67,0.0,12.366909980773926
68,0.0,11.434350967407227
69,0.0,10.605713844299316
70,0.0,9.86660099029541
71,0.0,9.210145950317383
72,0.0,8.649802207946777
73,0.0,8.159165382385254
74,0.0,7.714098930358887
75,0.0,7.3096747398376465
76,0.0,6.966432094573975
77,0.0,6.671530723571777
78,0.0,6.3993425369262695
79,0.0,6.159069061279297
80,0.0,5.945302963256836
81,0.0,5.7572503089904785
82,0.0,5.587408542633057
83,0.0,5.440387725830078
84,0.0,5.310919761657715
85,0.0,5.195713996887207
86,0.0,5.0881667137146
87,0.0,4.994641304016113
88,0.0,4.909247875213623
89,0.0,4.829783916473389
90,0.0,4.761163711547852
91,0.0,4.704169273376465
92,0.0,4.6499433517456055
93,0.0,4.596936225891113
94,0.0,4.553779602050781
95,0.0,4.517673969268799
96,0.0,4.478728771209717
