epoch,gamma_psg,gamma_wase,gamma_dsc,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,1.0,1.0,1.0,0.11656105518341064,0.0962364673614502,0.09844007343053818,0.09807392209768295
2,1.0,1.0,1.0,0.14131483435630798,0.1137307733297348,0.10248075425624847,0.13129809498786926
3,1.0,1.0,1.0,0.17383576929569244,0.1545095294713974,0.12757468223571777,0.20765793323516846
4,1.0,1.0,1.0,0.25776758790016174,0.19821327924728394,0.18865616619586945,0.2949846088886261
5,1.0,1.0,1.0,0.3805360198020935,0.23589281737804413,0.20538924634456635,0.6172683238983154
6,1.0,1.0,1.0,0.49380484223365784,0.30061569809913635,0.2839650809764862,0.7381221652030945
7,1.0,1.0,1.0,0.5885891914367676,0.3672042191028595,0.38631778955459595,0.785566508769989
8,1.0,1.0,1.0,0.757254958152771,0.46771952509880066,0.5150625705718994,0.9042549729347229
9,1.0,1.0,1.0,0.7999593019485474,0.538211464881897,0.6303890347480774,0.9844666123390198
10,1.0,1.0,1.0,0.8636363744735718,0.6061879992485046,0.7604005932807922,1.0619245767593384
11,1.0,1.0,1.0,0.9697591066360474,0.6848272085189819,0.9086814522743225,1.1327331066131592
12,1.0,1.0,1.0,1.0686590671539307,0.7841004729270935,1.040802240371704,1.208001971244812
13,1.0,1.0,1.0,1.1108534336090088,0.8789265155792236,1.142764925956726,1.2662501335144043
14,1.0,1.0,1.0,1.2360769510269165,0.9790860414505005,1.2087329626083374,1.2920674085617065
15,1.0,1.0,1.0,1.3969048261642456,1.0993586778640747,1.352858543395996,1.3409963846206665
16,1.0,1.0,1.0,1.494479775428772,1.2227389812469482,1.4630482196807861,1.3847883939743042
17,1.0,1.0,1.0,1.6175464391708374,1.3944976329803467,1.6532117128372192,1.4417697191238403
18,1.0,1.0,1.0,1.8144515752792358,1.548686146736145,1.8395018577575684,1.5219084024429321
19,1.0,1.0,1.0,2.0555644035339355,1.6989694833755493,2.0043342113494873,1.5509240627288818
20,1.0,1.0,1.0,2.2500009536743164,1.7833406925201416,2.1713602542877197,1.595731496810913
21,1.0,1.0,1.0,2.458223819732666,1.888877272605896,2.284243583679199,1.6269807815551758
22,1.0,1.0,1.0,2.6706531047821045,2.0776290893554688,2.436624526977539,1.6457622051239014
23,1.0,1.0,1.0,2.771603584289551,2.1866087913513184,2.5533478260040283,1.6808772087097168
24,1.0,1.0,1.0,3.0678489208221436,2.306265115737915,2.5967319011688232,1.6677223443984985
25,1.0,1.0,1.0,3.1768903732299805,2.510261058807373,2.8263449668884277,1.758091688156128
26,1.0,1.0,1.0,3.4371631145477295,2.676316022872925,2.9260103702545166,1.7775269746780396
27,1.0,1.0,1.0,3.618464946746826,2.806940793991089,3.013688087463379,1.8120301961898804
28,1.0,1.0,1.0,3.962963104248047,3.1067311763763428,3.092355728149414,1.8179681301116943
29,1.0,1.0,1.0,4.2021403312683105,3.2827699184417725,3.1818761825561523,1.8400033712387085
30,1.0,1.0,1.0,4.34665060043335,3.3937931060791016,3.330162286758423,1.8696092367172241
31,1.0,1.0,1.0,4.595705509185791,3.60970401763916,3.488832950592041,1.858361005783081
32,1.0,1.0,1.0,4.802596092224121,4.163957595825195,4.09835958480835,1.8998645544052124
33,1.0,1.0,1.0,4.852823734283447,4.442111492156982,4.198558807373047,1.9303876161575317
