epoch,gamma_wase,gamma_dsc,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,0.11679034680128098,0.0,-0.0637984350323677,-0.0025463339406996965,0.015163291245698929
2,0.2847279906272888,0.0,-0.12509720027446747,-0.004056047648191452,0.028937172144651413
3,0.3444598615169525,0.0,-0.13902901113033295,-0.005144646391272545,0.03874363377690315
4,0.36388084292411804,0.0,-0.1445428878068924,-0.0062226466834545135,0.04358145594596863
5,0.3734613358974457,0.0,-0.14718899130821228,-0.006893475539982319,0.048343028873205185
6,0.37944552302360535,0.0,-0.1487370878458023,-0.007286468520760536,0.05055617168545723
7,0.38368096947669983,0.0,-0.14986807107925415,-0.0075194379314780235,0.052621420472860336
8,0.38707804679870605,0.0,-0.15078891813755035,-0.007739997934550047,0.054259516298770905
9,0.3899086117744446,0.0,-0.15161973237991333,-0.007819348014891148,0.05508748069405556
10,0.39211422204971313,0.0,-0.1522224396467209,-0.007948645390570164,0.05824428051710129
11,0.3944140374660492,0.0,-0.15282003581523895,-0.008004069328308105,0.06112981215119362
12,0.39620792865753174,0.0,-0.15344026684761047,-0.008097952231764793,0.0653991624712944
13,0.3977992832660675,0.0,-0.15392424166202545,-0.008176852948963642,0.07076089829206467
14,0.3992590010166168,0.0,-0.1542217880487442,-0.008264618925750256,0.0711703822016716
15,0.40069955587387085,0.0,-0.15469397604465485,-0.00835438072681427,0.07351216673851013
16,0.40202006697654724,0.0,-0.15499919652938843,-0.00845519732683897,0.07741238176822662
17,0.4035714566707611,0.0,-0.15541180968284607,-0.008565015159547329,0.07973059266805649
18,0.40462276339530945,0.0,-0.1558638960123062,-0.008645609021186829,0.07921802997589111
19,0.4055965542793274,0.0,-0.1563270390033722,-0.008741914294660091,0.08541841059923172
20,0.4066717326641083,0.0,-0.1568022519350052,-0.00880281999707222,0.09528139978647232
21,0.4072513282299042,0.0,-0.15705154836177826,-0.008890530094504356,0.10174287855625153
22,0.40822696685791016,0.0,-0.15747007727622986,-0.00898372195661068,0.11466652899980545
23,0.40911492705345154,0.0,-0.1579541265964508,-0.009018710814416409,0.11890721321105957
24,0.4097948968410492,0.0,-0.1584218144416809,-0.009116909466683865,0.13173866271972656
25,0.41224268078804016,0.0,-0.15795718133449554,-0.009118274785578251,0.13238981366157532
26,0.4136884808540344,0.0,-0.1587432622909546,-0.009311777539551258,0.1444755345582962
27,0.4141126573085785,0.0,-0.15891383588314056,-0.00938152801245451,0.16070137917995453
28,0.41485071182250977,0.0,-0.15914317965507507,-0.009509244933724403,0.1784246563911438
29,0.41514256596565247,0.0,-0.15979979932308197,-0.009559611789882183,0.1832876205444336
30,0.41531994938850403,0.0,-0.1599680781364441,-0.009823116473853588,0.20007742941379547
31,0.41539013385772705,0.0,-0.16051825881004333,-0.010160221718251705,0.22744740545749664
32,0.41548407077789307,0.0,-0.16095270216464996,-0.010428209789097309,0.24974675476551056
33,0.4156503677368164,0.0,-0.16113129258155823,-0.010670840740203857,0.2954530119895935
34,0.4169901907444,0.0,-0.16193388402462006,-0.01113080233335495,0.30643200874328613
35,0.4180183708667755,0.0,-0.16249363124370575,-0.011661715805530548,0.3479469120502472
36,0.41854485869407654,0.0,-0.16372713446617126,-0.012125691398978233,0.3653857409954071
37,0.41904157400131226,0.0,-0.16434665024280548,-0.012630232609808445,0.38252919912338257
38,0.4192257821559906,0.0,-0.16478005051612854,-0.013194489292800426,0.38883572816848755
39,0.4206092655658722,0.0,-0.16673266887664795,-0.014012491330504417,0.43904393911361694
40,0.42221370339393616,0.0,-0.16769351065158844,-0.014681478030979633,0.48001596331596375
41,0.42387840151786804,0.0,-0.17009380459785461,-0.015509559772908688,0.5271231532096863
42,0.4268610179424286,0.0,-0.1705673187971115,-0.016001012176275253,0.5983167886734009
43,0.4413095712661743,0.0,-0.1722092479467392,-0.01684906706213951,0.6250158548355103
44,0.44932276010513306,0.0,-0.17300038039684296,-0.019133100286126137,0.6247995495796204
45,0.45201462507247925,0.0,-0.17492568492889404,-0.02089345082640648,0.6401190161705017
46,0.45677486062049866,0.0,-0.17578385770320892,-0.021487852558493614,0.6556751728057861
47,0.4624110162258148,0.0,-0.1773652732372284,-0.023960908874869347,0.6847549676895142
48,0.46669018268585205,0.0,-0.17917422950267792,-0.02461898885667324,0.7267587184906006
49,0.4707150161266327,0.0,-0.18048572540283203,-0.025975404307246208,0.7962209582328796
50,0.47604238986968994,0.0,-0.18599167466163635,-0.031162817031145096,0.8709322214126587
51,0.48085448145866394,0.0,-0.18812072277069092,-0.03287890553474426,0.9372495412826538
52,0.4907255172729492,0.0,-0.19166699051856995,-0.03941533342003822,1.0194967985153198
53,0.49629077315330505,0.0,-0.1929822862148285,-0.04666842520236969,1.0598241090774536
54,0.5030980110168457,0.0,-0.19381991028785706,-0.04914151877164841,1.0980985164642334
55,0.5135069489479065,0.0,-0.19961512088775635,-0.04725651070475578,1.099754810333252
56,0.518329918384552,0.0,-0.19989386200904846,-0.05474769324064255,1.113282322883606
57,0.5296333432197571,0.0,-0.1984986811876297,-0.06973008066415787,1.0937371253967285
58,0.5374032855033875,0.0,-0.20659589767456055,-0.0731496661901474,1.1407549381256104
59,0.5439388751983643,0.0,-0.21391524374485016,-0.08075918257236481,1.167124629020691
60,0.554842472076416,0.0,-0.22240956127643585,-0.10699943453073502,1.2330942153930664
61,0.5797048807144165,0.0,-0.22602932155132294,-0.12796390056610107,1.277081847190857
62,0.5889648795127869,0.0,-0.23524083197116852,-0.1379394233226776,1.3011904954910278
63,0.5979710221290588,0.0,-0.23407873511314392,-0.1527150720357895,1.3222450017929077
64,0.6029307246208191,0.0,-0.24348559975624084,-0.17008721828460693,1.333287000656128
65,0.6151016354560852,0.0,-0.2503305673599243,-0.1999266892671585,1.3433568477630615
66,0.6206334233283997,0.0,-0.2536655068397522,-0.2453395128250122,1.3496989011764526
67,0.6295161247253418,0.0,-0.24992647767066956,-0.3147304356098175,1.3632659912109375
68,0.6378622055053711,0.0,-0.2571873366832733,-0.33890336751937866,1.366976261138916
69,0.6466919183731079,0.0,-0.26214462518692017,-0.4002029299736023,1.379190444946289
70,0.6542714238166809,0.0,-0.26707637310028076,-0.4406334161758423,1.3581024408340454
71,0.6633761525154114,0.0,-0.26436081528663635,-0.4675910174846649,1.3653860092163086
72,0.6698454022407532,0.0,-0.300077348947525,-0.5327975153923035,1.3826487064361572
73,0.6762639284133911,0.0,-0.3125280737876892,-0.59999018907547,1.3943625688552856
74,0.6853920221328735,0.0,-0.31959500908851624,-0.7111907005310059,1.3999563455581665
75,0.6930810213088989,0.0,-0.34360113739967346,-0.782231330871582,1.3995717763900757
76,0.7013903856277466,0.0,-0.3373497724533081,-0.8763962984085083,1.415536642074585
77,0.7090818285942078,0.0,-0.3569078743457794,-0.9830033183097839,1.4281260967254639
78,0.7137491106987,0.0,-0.35149946808815,-1.062891960144043,1.4328783750534058
79,0.7185508608818054,0.0,-0.35688692331314087,-1.1741602420806885,1.4415886402130127
80,0.7306203246116638,0.0,-0.37722525000572205,-1.3047329187393188,1.4578468799591064
81,0.7327423691749573,0.0,-0.4128546118736267,-1.4349822998046875,1.4792804718017578
82,0.7406108379364014,0.0,-0.4322860836982727,-1.535834789276123,1.4749929904937744
83,0.7475208640098572,0.0,-0.4342714548110962,-1.636004090309143,1.4886568784713745
84,0.7530151605606079,0.0,-0.44183218479156494,-1.6673879623413086,1.4825618267059326
85,0.7589205503463745,0.0,-0.47323518991470337,-1.6396863460540771,1.4956735372543335
86,0.7666255831718445,0.0,-0.4952310025691986,-1.624206304550171,1.4993425607681274
87,0.7712448835372925,0.0,-0.5300719141960144,-1.6448010206222534,1.5140966176986694
88,0.7754785418510437,0.0,-0.5449305772781372,-1.6477563381195068,1.5080550909042358
89,0.7789188623428345,0.0,-0.5405374765396118,-1.680579662322998,1.5110687017440796
90,0.7834518551826477,0.0,-0.5678171515464783,-1.6994801759719849,1.5158785581588745
91,0.7885663509368896,0.0,-0.5954095721244812,-1.6999248266220093,1.5328075885772705
92,0.7948258519172668,0.0,-0.6324335932731628,-1.721726655960083,1.548905849456787
93,0.7935283184051514,0.0,-0.6543616652488708,-1.7638523578643799,1.5587191581726074
94,0.801374077796936,0.0,-0.6895248293876648,-1.7412867546081543,1.5756858587265015
95,0.8063512444496155,0.0,-0.6738239526748657,-1.7349332571029663,1.5914424657821655
96,0.8069332838058472,0.0,-0.6995424628257751,-1.7698390483856201,1.5929439067840576
97,0.8116003274917603,0.0,-0.7211648225784302,-1.7862048149108887,1.5885127782821655
98,0.8168480396270752,0.0,-0.7777730822563171,-1.7872099876403809,1.6035313606262207
99,0.8176711201667786,0.0,-0.8066596984863281,-1.8136042356491089,1.6186277866363525
100,0.8222343325614929,0.0,-0.8251811861991882,-1.8130466938018799,1.6300145387649536
