epoch,train_mse,test_mse
1,345631.59375,14101992.0
2,0.0,12327618.0
3,0.0,10470170.0
4,0.0,8706091.0
5,0.0,7066428.5
6,0.0,5604239.0
7,0.0,4382891.5
8,0.0,3400867.25
9,0.0,2616901.75
10,0.0,2000076.5
11,0.0,1514695.5
12,0.0,1135957.25
13,0.0,846477.8125
14,0.0,625711.75
15,0.0,457791.625
16,0.0,330810.15625
17,0.0,236516.875
18,0.0,167583.328125
19,0.0,117582.3828125
20,0.0,82523.9296875
21,0.0,58130.03125
22,0.0,41219.4609375
23,0.0,29600.955078125
24,0.0,21391.2265625
25,0.0,15698.9775390625
26,0.0,11641.3876953125
27,0.0,8685.5927734375
28,0.0,6550.73046875
29,0.0,5018.0732421875
30,0.0,3888.5009765625
31,0.0,3044.5166015625
32,0.0,2411.779296875
33,0.0,1923.309814453125
34,0.0,1543.22802734375
35,0.0,1246.313720703125
36,0.0,1015.0813598632812
37,0.0,832.6300659179688
38,0.0,686.5557250976562
39,0.0,567.64013671875
40,0.0,471.21331787109375
41,0.0,392.4543762207031
42,0.0,329.230224609375
43,0.0,277.3506164550781
44,0.0,234.5038604736328
45,0.0,199.64234924316406
46,0.0,170.27635192871094
47,0.0,146.07736206054688
48,0.0,125.65585327148438
49,0.0,107.9945068359375
50,0.12945133447647095,93.07182312011719
51,0.0,80.35946655273438
52,0.0,69.83914947509766
53,0.0,60.894954681396484
54,0.0,53.327880859375
55,0.0,46.86019515991211
56,0.0,41.36368942260742
57,0.0,36.60709762573242
58,0.0,32.49923324584961
59,0.0,28.96761703491211
60,0.0,25.857494354248047
61,0.0,23.1861629486084
62,0.0,20.833600997924805
63,0.0,18.806148529052734
64,0.0,17.0786190032959
65,0.0,15.509138107299805
66,0.0,14.138105392456055
67,0.0,12.979581832885742
68,0.0,11.923498153686523
69,0.0,11.004006385803223
70,0.0,10.18697738647461
71,0.0,9.489239692687988
72,0.0,8.853910446166992
73,0.0,8.304008483886719
74,0.0,7.826348781585693
75,0.0,7.417407035827637
76,0.0,7.049612522125244
77,0.0,6.723106384277344
78,0.0,6.425400733947754
79,0.0,6.161828517913818
80,0.0,5.933309555053711
81,0.0,5.734414577484131
82,0.0,5.553160667419434
83,0.0,5.388156890869141
84,0.0,5.238409519195557
85,0.0,5.109102249145508
86,0.0,4.99174690246582
87,0.0,4.8888397216796875
88,0.0,4.798046112060547
89,0.0,4.713520526885986
90,0.0,4.6367621421813965
91,0.0,4.569785118103027
92,0.0,4.50875186920166
93,0.0,4.449324131011963
94,0.0,4.3979339599609375
95,0.0,4.355149745941162
96,0.0,4.311111927032471
97,0.0,4.2714056968688965
98,0.0,4.2384490966796875
99,0.0,4.210322856903076
100,0.04166406765580177,4.182351112365723
101,0.0,4.1564249992370605
102,0.0,4.133059024810791
103,0.0,4.1115593910217285
104,0.0,4.093049049377441
105,0.0,4.074985980987549
106,0.0,4.058046817779541
107,0.0,4.042496681213379
108,0.0,4.0296406745910645
109,0.0,4.017128944396973
110,0.0,4.005699634552002
111,0.0,3.9949235916137695
112,0.0,3.984358549118042
113,0.0,3.974468469619751
114,0.0,3.9661948680877686
115,0.0,3.957926034927368
116,0.0,3.9485960006713867
117,0.0,3.9403791427612305
118,0.0,3.9325177669525146
119,0.0,3.9261841773986816
120,0.0,3.9201080799102783
121,0.0,3.9161882400512695
122,0.0,3.9105923175811768
123,0.0,3.902535915374756
124,0.0,3.8979716300964355
125,0.0,3.892683744430542
126,0.0,3.8886070251464844
127,0.0,3.8853352069854736
128,0.0,3.8812661170959473
129,0.0,3.878533363342285
130,0.0,3.874739646911621
131,0.0,3.8715927600860596
132,0.0,3.8685340881347656
133,0.0,3.8660054206848145
134,0.0,3.863152265548706
135,0.0,3.8592963218688965
136,0.0,3.856323003768921
137,0.0,3.8526992797851562
138,0.0,3.8494181632995605
139,0.0,3.84694504737854
140,0.0,3.8434085845947266
141,0.0,3.8382067680358887
142,0.0,3.835020065307617
143,0.0,3.832144260406494
144,0.0,3.8286397457122803
145,0.0,3.8264150619506836
146,0.0,3.8236916065216064
147,0.0,3.8223791122436523
148,0.0,3.8206450939178467
149,0.0,3.8183066844940186
150,0.013578198850154877,3.8175885677337646
151,0.0,3.817967653274536
152,0.0,3.816826343536377
153,0.0,3.8160436153411865
154,0.0,3.8148465156555176
155,0.0,3.815133571624756
156,0.0,3.8138506412506104
157,0.0,3.8116462230682373
158,0.0,3.810771942138672
159,0.0,3.809904098510742
160,0.0,3.808713674545288
161,0.0,3.8075716495513916
162,0.0,3.8062942028045654
163,0.0,3.8049612045288086
164,0.0,3.8040621280670166
165,0.0,3.801649570465088
166,0.0,3.799851894378662
167,0.0,3.798144817352295
168,0.0,3.7973554134368896
169,0.0,3.796980619430542
