epoch,train_mse,test_mse
1,6307.8916015625,10953.0615234375
2,0.0,671.6533813476562
3,0.0,66.4437484741211
4,0.0,22.039201736450195
5,0.0,13.281989097595215
6,0.0,9.661710739135742
7,0.0,7.955948829650879
8,0.0,7.039819240570068
9,0.0,6.30339241027832
10,0.0,5.675388813018799
11,0.0,5.435561656951904
12,0.0,5.369874954223633
13,0.0,4.74755334854126
14,0.0,5.006789207458496
15,0.0,4.5146894454956055
16,0.0,4.287343502044678
17,0.0,4.243127822875977
18,0.0,4.212494373321533
19,0.0,4.169691562652588
20,0.0,3.944256067276001
21,0.0,3.895176887512207
22,0.0,3.945012092590332
23,0.0,4.106113910675049
24,0.0,3.675398111343384
25,0.0,3.7080981731414795
26,0.0,3.8551344871520996
27,0.0,3.624396562576294
28,0.0,3.591754913330078
29,0.0,3.681109666824341
30,0.0,3.8801965713500977
31,0.0,3.591460704803467
32,0.0,3.6908071041107178
33,0.0,3.651170492172241
34,0.0,5.260577201843262
35,0.0,3.7027034759521484
36,0.0,3.6265640258789062
37,0.0,3.443549871444702
38,0.0,3.447270154953003
39,0.0,3.5742557048797607
40,0.0,3.6137516498565674
41,0.0,3.458380937576294
42,0.0,3.4572505950927734
43,0.0,3.5287113189697266
44,0.0,3.513441562652588
45,0.0,3.5490121841430664
46,0.0,3.454421043395996
47,0.0,3.559366464614868
48,0.0,3.4756481647491455
49,0.0,3.367596387863159
50,1.4532498121261597,3.5878756046295166
51,0.0,3.432706832885742
52,0.0,3.4216225147247314
53,0.0,3.4822514057159424
54,0.0,3.764540433883667
55,0.0,3.54817271232605
56,0.0,3.451780319213867
57,0.0,3.478989362716675
58,0.0,3.528045654296875
59,0.0,3.470623016357422
60,0.0,3.643367290496826
61,0.0,3.4861111640930176
62,0.0,3.6056597232818604
63,0.0,3.3620681762695312
64,0.0,3.446580648422241
65,0.0,3.6724190711975098
66,0.0,3.61421799659729
67,0.0,3.5260508060455322
68,0.0,3.5385618209838867
69,0.0,3.5240883827209473
70,0.0,3.5126090049743652
71,0.0,3.5503690242767334
72,0.0,3.891876220703125
73,0.0,3.6402275562286377
74,0.0,3.6233952045440674
75,0.0,3.9812235832214355
76,0.0,3.5535097122192383
77,0.0,3.813404083251953
78,0.0,3.8277053833007812
79,0.0,3.5582056045532227
80,0.0,3.5266222953796387
81,0.0,3.7747983932495117
82,0.0,4.003628253936768
83,0.0,3.893798351287842
84,0.0,3.589297294616699
85,0.0,3.9509530067443848
86,0.0,3.7035069465637207
87,0.0,3.808966636657715
88,0.0,3.988919496536255
89,0.0,3.912163257598877
90,0.0,3.8641538619995117
91,0.0,3.705474376678467
92,0.0,3.786665916442871
93,0.0,3.85701060295105
94,0.0,3.891988754272461
95,0.0,3.6519675254821777
96,0.0,4.0963029861450195
97,0.0,3.9190568923950195
98,0.0,3.705332040786743
99,0.0,4.02203893661499
100,0.5086430907249451,3.8678979873657227
