epoch,gamma_psg,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,0.0,-0.023492805659770966,-0.037988368421792984,-0.02926410734653473
2,0.0,-0.06609196960926056,-0.04103849083185196,-0.04646353796124458
3,0.0,-0.08402974158525467,-0.04380856826901436,-0.04935760796070099
4,0.0,-0.09080486744642258,-0.04476306214928627,-0.05037129670381546
5,0.0,-0.09449765831232071,-0.045264143496751785,-0.05122315138578415
6,0.0,-0.09656491875648499,-0.04547940194606781,-0.05270737409591675
7,0.0,-0.09822814166545868,-0.04566268250346184,-0.054809149354696274
8,0.0,-0.09949968010187149,-0.04577318951487541,-0.0572173111140728
9,0.0,-0.10055368393659592,-0.04585234448313713,-0.05998408794403076
10,0.0,-0.10139385610818863,-0.04589039087295532,-0.06293299794197083
11,0.0,-0.10230289399623871,-0.04596215859055519,-0.06790053844451904
12,0.0,-0.10323800146579742,-0.04612794890999794,-0.07246973365545273
13,0.0,-0.10417577624320984,-0.04622175544500351,-0.07708432525396347
14,0.0,-0.10463621467351913,-0.046164222061634064,-0.08319134265184402
15,0.0,-0.1055738627910614,-0.04627500846982002,-0.0869934931397438
16,0.0,-0.10634000599384308,-0.04627750813961029,-0.09182850271463394
17,0.0,-0.10719647258520126,-0.04628126695752144,-0.09656749665737152
18,0.0,-0.10802443325519562,-0.04638643190264702,-0.10122976452112198
19,0.0,-0.1083734929561615,-0.04629622399806976,-0.10593301802873611
20,0.0,-0.10952447354793549,-0.04640670120716095,-0.10891687870025635
21,0.0,-0.11025526374578476,-0.04652547836303711,-0.11268112808465958
22,0.0,-0.110629603266716,-0.04648405686020851,-0.11063310503959656
23,0.0,-0.11168812215328217,-0.04651755839586258,-0.11166346073150635
24,0.0,-0.11224927753210068,-0.046468865126371384,-0.1146128699183464
25,0.0,-0.11297180503606796,-0.04655572399497032,-0.1213340014219284
26,0.0,-0.11367335170507431,-0.04654858261346817,-0.12701433897018433
27,0.0,-0.11435253918170929,-0.04658360034227371,-0.1333569437265396
28,0.0,-0.11501050740480423,-0.0465315617620945,-0.13262329995632172
29,0.0,-0.11555807292461395,-0.046578291803598404,-0.12821874022483826
30,0.0,-0.11580897122621536,-0.04635687172412872,-0.143811896443367
31,0.0,-0.11677553504705429,-0.0467006117105484,-0.1488446295261383
32,0.0,-0.11748068779706955,-0.046869903802871704,-0.14651884138584137
33,0.0,-0.11809837073087692,-0.04713611677289009,-0.15788131952285767
34,0.0,-0.11517275869846344,-0.04748564586043358,-0.16627895832061768
35,0.0,-0.11756924539804459,-0.04737461730837822,-0.16739271581172943
36,0.0,-0.11900962889194489,-0.04724655672907829,-0.16179153323173523
37,0.0,-0.12094690650701523,-0.04737331345677376,-0.1664489060640335
38,0.0,-0.12274788320064545,-0.04739317297935486,-0.1674148291349411
39,0.0,-0.12547500431537628,-0.04795851185917854,-0.1796848624944687
