epoch,gamma_psg,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,-6.732371105044876e-08,0.09218624979257584,0.04086668789386749,0.01584284007549286,0.03633100911974907
2,9.469027872910374e-07,0.1626998484134674,0.12188300490379333,0.02766956016421318,0.087519071996212
3,2.41946793266834e-07,0.223906472325325,0.16908705234527588,0.04289451986551285,0.11797299981117249
4,1.0247813406749628e-06,0.29232507944107056,0.20983247458934784,0.06427470594644547,0.13296158611774445
5,5.438895186671289e-06,0.36203399300575256,0.2363276481628418,0.10178447514772415,0.15108515322208405
6,8.38611140352441e-06,0.4127095937728882,0.2698991596698761,0.158848837018013,0.19308172166347504
7,1.2324289855314419e-05,0.5230609178543091,0.339632123708725,0.22188621759414673,0.2772674858570099
8,1.6356847481802106e-05,0.6154190301895142,0.3771721422672272,0.2763197422027588,0.34982505440711975
9,3.6192745028529316e-05,0.6770268678665161,0.4081277847290039,0.3315247595310211,0.3896566331386566
10,0.00011032656766474247,0.7607112526893616,0.4471527338027954,0.4002538025379181,0.4648783504962921
11,0.0006253483006730676,0.8052884936332703,0.5255223512649536,0.5054369568824768,0.5624327659606934
12,0.003562909085303545,0.9332871437072754,0.6268678307533264,0.661029577255249,0.7150839567184448
13,0.011078214272856712,1.1605286598205566,0.8503345251083374,0.9555545449256897,0.9524220824241638
14,-0.0015620662597939372,1.4132314920425415,1.0326647758483887,1.2779326438903809,1.07435142993927
15,-0.0038333202246576548,1.6732145547866821,1.3012876510620117,1.6703543663024902,1.3881304264068604
16,-0.0062631238251924515,1.861512303352356,1.5037745237350464,1.9060736894607544,1.7201693058013916
17,-0.0018652282888069749,2.1023776531219482,1.7087838649749756,2.33402943611145,1.806107997894287
18,-0.0024919994175434113,2.426016092300415,2.0524580478668213,2.5280017852783203,1.9865905046463013
19,-0.0013183460105210543,2.720212936401367,2.477750062942505,2.7592921257019043,2.0871410369873047
20,0.0030973930843174458,3.0139636993408203,2.7981975078582764,2.9957306385040283,2.1717329025268555
21,0.003966843709349632,3.481724739074707,3.1692140102386475,3.4638211727142334,2.3185153007507324
22,0.00040467717917636037,3.7188730239868164,3.6081466674804688,3.8429532051086426,2.39776611328125
23,0.011268381960690022,4.152569770812988,3.842067003250122,4.196001052856445,2.3508098125457764
24,0.012310040183365345,4.580703258514404,4.279080390930176,4.583745002746582,2.5447354316711426
25,-0.04421737417578697,5.1328301429748535,4.736599445343018,5.153880596160889,2.595890760421753
26,-0.022566111758351326,5.305638790130615,5.170063018798828,5.454730033874512,2.72663950920105
27,-0.21972820162773132,5.510916709899902,5.447072505950928,5.628962516784668,2.7576963901519775
28,-0.3682054281234741,5.691121578216553,5.624545574188232,5.878171920776367,2.851888656616211
29,-0.29241517186164856,5.886239528656006,5.770124435424805,5.950270652770996,2.933720111846924
30,-0.7116386294364929,6.207483291625977,5.902275085449219,6.203534126281738,2.990260124206543
31,-1.0952717065811157,6.453745365142822,6.1694655418396,6.4346537590026855,3.089838743209839
32,-1.2551982402801514,6.685540676116943,6.267491340637207,6.735019207000732,3.0755205154418945
