DateTime,sample_idx,step,actual,predicted
2017/10/20 0:00,0,1,-0.020713951,0.08319083
2017/10/20 1:00,0,2,-0.020602953,0.09532909
2017/10/20 2:00,0,3,-0.020796103,-0.07326326
2017/10/20 3:00,0,4,-0.020833448,-0.066375814
2017/10/20 1:00,1,1,-0.020602953,-0.23482896
2017/10/20 2:00,1,2,-0.020796103,-0.18526706
2017/10/20 3:00,1,3,-0.020833448,-0.64727694
2017/10/20 4:00,1,4,-0.020929836,-0.38209233
2017/10/20 2:00,2,1,-0.020796103,-0.09377207
2017/10/20 3:00,2,2,-0.020833448,-0.5773594
2017/10/20 4:00,2,3,-0.020929836,-0.57785016
2017/10/20 5:00,2,4,-0.020955106,-0.34407952
2017/10/20 3:00,3,1,-0.020833448,0.09127194
2017/10/20 4:00,3,2,-0.020929836,-0.4883941
2017/10/20 5:00,3,3,-0.020955106,-0.50988
2017/10/20 6:00,3,4,0.37568936,-0.23708959
2017/10/20 4:00,4,1,-0.020929836,-0.19406773
2017/10/20 5:00,4,2,-0.020955106,-0.48258498
2017/10/20 6:00,4,3,0.37568936,0.20386876
2017/10/20 7:00,4,4,4.095335,3.086125
2017/10/20 5:00,5,1,-0.020955106,-0.28264573
2017/10/20 6:00,5,2,0.37568936,0.48870263
2017/10/20 7:00,5,3,4.095335,3.1979198
2017/10/20 8:00,5,4,9.626997,8.066141
2017/10/20 6:00,6,1,0.37568936,0.37616467
2017/10/20 7:00,6,2,4.095335,3.6613238
2017/10/20 8:00,6,3,9.626997,8.220439
2017/10/20 9:00,6,4,14.268197,12.797806
2017/10/20 7:00,7,1,4.095335,3.1591647
2017/10/20 8:00,7,2,9.626997,8.601167
2017/10/20 9:00,7,3,14.268197,13.372404
2017/10/20 10:00,7,4,17.437979,16.264776
2017/10/20 8:00,8,1,9.626997,9.45868
2017/10/20 9:00,8,2,14.268197,13.743211
2017/10/20 10:00,8,3,17.437979,16.617758
2017/10/20 11:00,8,4,19.400583,17.430891
2017/10/20 9:00,9,1,14.268197,15.206044
2017/10/20 10:00,9,2,17.437979,17.848711
2017/10/20 11:00,9,3,19.400583,18.945728
2017/10/20 12:00,9,4,20.016624,17.928852
2017/10/20 10:00,10,1,17.437979,17.415243
2017/10/20 11:00,10,2,19.400583,19.068972
2017/10/20 12:00,10,3,20.016624,18.286795
2017/10/20 13:00,10,4,19.319904,16.785603
2017/10/20 11:00,11,1,19.400583,18.614964
2017/10/20 12:00,11,2,20.016624,18.923288
2017/10/20 13:00,11,3,19.319904,17.447159
2017/10/20 14:00,11,4,17.555317,15.317238
2017/10/20 12:00,12,1,20.016624,19.845715
2017/10/20 13:00,12,2,19.319904,18.743069
2017/10/20 14:00,12,3,17.555317,15.855477
2017/10/20 15:00,12,4,14.411037,12.77668
2017/10/20 13:00,13,1,19.319904,19.596846
2017/10/20 14:00,13,2,17.555317,16.567278
2017/10/20 15:00,13,3,14.411037,12.895073
2017/10/20 16:00,13,4,9.247851,8.495797
2017/10/20 14:00,14,1,17.555317,16.978806
2017/10/20 15:00,14,2,14.411037,13.560396
2017/10/20 16:00,14,3,9.247851,8.129972
2017/10/20 17:00,14,4,4.243454,3.4851725
2017/10/20 15:00,15,1,14.411037,13.031118
2017/10/20 16:00,15,2,9.247851,8.429567
2017/10/20 17:00,15,3,4.243454,3.7942235
2017/10/20 18:00,15,4,0.59579724,1.1613994
2017/10/20 16:00,16,1,9.247851,8.305023
2017/10/20 17:00,16,2,4.243454,3.669812
2017/10/20 18:00,16,3,0.59579724,1.1585935
2017/10/20 19:00,16,4,-0.021247957,0.18371898
2017/10/20 17:00,17,1,4.243454,3.6177087
2017/10/20 18:00,17,2,0.59579724,0.43707052
2017/10/20 19:00,17,3,-0.021247957,0.5511419
2017/10/20 20:00,17,4,-0.021188913,-0.09914464
2017/10/20 18:00,18,1,0.59579724,1.0809848
2017/10/20 19:00,18,2,-0.021247957,0.032978904
2017/10/20 20:00,18,3,-0.021188913,-0.29854813
2017/10/20 21:00,18,4,-0.021077774,0.030974697
2017/10/20 19:00,19,1,-0.021247957,-0.046011798
2017/10/20 20:00,19,2,-0.021188913,-0.11608641
2017/10/20 21:00,19,3,-0.021077774,0.23460051
2017/10/20 22:00,19,4,-0.021042585,-0.053216536
2017/10/20 20:00,20,1,-0.021188913,0.009060316
2017/10/20 21:00,20,2,-0.021077774,-0.14945932
2017/10/20 22:00,20,3,-0.021042585,-0.015645599
2017/10/20 23:00,20,4,-0.021000994,-0.28932565
2017/10/20 21:00,21,1,-0.021077774,0.18206741
2017/10/20 22:00,21,2,-0.021042585,-0.071360715
2017/10/20 23:00,21,3,-0.021000994,0.1854926
2017/10/21 0:00,21,4,-0.02106703,-0.03815254
2017/10/20 22:00,22,1,-0.021042585,0.07305038
2017/10/20 23:00,22,2,-0.021000994,0.123470455
2017/10/21 0:00,22,3,-0.02106703,-0.06081268
2017/10/21 1:00,22,4,-0.020896083,0.09586622
2017/10/20 23:00,23,1,-0.021000994,0.05449954
2017/10/21 0:00,23,2,-0.02106703,0.2606354
2017/10/21 1:00,23,3,-0.020896083,0.15819506
2017/10/21 2:00,23,4,-0.021165067,-0.44724828
2017/10/21 0:00,24,1,-0.02106703,0.16253759
2017/10/21 1:00,24,2,-0.020896083,0.07278758
2017/10/21 2:00,24,3,-0.021165067,0.11607516
2017/10/21 3:00,24,4,-0.021281706,-0.49441403
2017/10/21 1:00,25,1,-0.020896083,-0.083930865
2017/10/21 2:00,25,2,-0.021165067,-0.25857925
2017/10/21 3:00,25,3,-0.021281706,-0.18440017
2017/10/21 4:00,25,4,-0.02134739,-0.483223
2017/10/21 2:00,26,1,-0.021165067,-0.22469833
2017/10/21 3:00,26,2,-0.021281706,-0.011126524
2017/10/21 4:00,26,3,-0.02134739,0.032261323
2017/10/21 5:00,26,4,-0.021308629,-0.3711566
2017/10/21 3:00,27,1,-0.021281706,-0.20270483
2017/10/21 4:00,27,2,-0.02134739,-0.03191869
2017/10/21 5:00,27,3,-0.021308629,-0.07828178
2017/10/21 6:00,27,4,0.40398735,0.03177806
2017/10/21 4:00,28,1,-0.02134739,-0.21655008
2017/10/21 5:00,28,2,-0.021308629,-0.44573334
2017/10/21 6:00,28,3,0.40398735,0.74704176
2017/10/21 7:00,28,4,4.3619876,3.342798
2017/10/21 5:00,29,1,-0.021308629,-0.180476
2017/10/21 6:00,29,2,0.40398735,0.76797634
2017/10/21 7:00,29,3,4.3619876,3.897874
2017/10/21 8:00,29,4,10.112763,8.989787
2017/10/21 6:00,30,1,0.40398735,0.76936126
2017/10/21 7:00,30,2,4.3619876,4.1049166
2017/10/21 8:00,30,3,10.112763,9.345756
2017/10/21 9:00,30,4,14.867473,13.958801
2017/10/21 7:00,31,1,4.3619876,4.2258744
2017/10/21 8:00,31,2,10.112763,9.399201
2017/10/21 9:00,31,3,14.867473,15.120602
2017/10/21 10:00,31,4,18.189949,17.57872
2017/10/21 8:00,32,1,10.112763,10.3449545
2017/10/21 9:00,32,2,14.867473,15.15613
2017/10/21 10:00,32,3,18.189949,19.110374
2017/10/21 11:00,32,4,20.021065,20.364365
2017/10/21 9:00,33,1,14.867473,15.568549
2017/10/21 10:00,33,2,18.189949,18.915377
2017/10/21 11:00,33,3,20.021065,20.437664
2017/10/21 12:00,33,4,20.650278,20.124775
2017/10/21 10:00,34,1,18.189949,18.535973
2017/10/21 11:00,34,2,20.021065,20.434563
2017/10/21 12:00,34,3,20.650278,20.344933
2017/10/21 13:00,34,4,20.011238,19.09925
2017/10/21 11:00,35,1,20.021065,21.16002
2017/10/21 12:00,35,2,20.650278,20.672504
2017/10/21 13:00,35,3,20.011238,19.682066
2017/10/21 14:00,35,4,18.122833,16.989819
2017/10/21 12:00,36,1,20.650278,21.083414
2017/10/21 13:00,36,2,20.011238,19.63141
2017/10/21 14:00,36,3,18.122833,17.35317
2017/10/21 15:00,36,4,15.150607,14.009325
2017/10/21 13:00,37,1,20.011238,19.886135
2017/10/21 14:00,37,2,18.122833,17.478575
